log2FoldChange,pvalue,padj,LLgeneAbbrev
-0.478033239,5.58793927225002e-11,8.83620837120895e-07,kif5ab
-0.811046829,1.77436675732362e-10,1.40290307667792e-06,adcy7
-1.526440126,9.89152146969592e-09,5.21382096667672e-05,abcg1
1.079434655,5.52031438580419e-08,0.000218232,cav1
0.630305256,1.53057280747263e-07,0.000407047,si:ch211-237l4.6
-0.391343069,1.54447565836796e-07,0.000407047,si:ch211-79k12.2
2.290030862,3.25217648040018e-07,0.000677867,rln3a
0.852613053,3.42941522001183e-07,0.000677867,pmchl
0.426018645,4.43910104834757e-07,0.00077995,kcnh4b
-0.561782956,5.44793309718865e-07,0.000861482,uacab
1.023434944,6.46922130687787e-07,0.000909922,gabra6b
0.852479685,6.90511620838355e-07,0.000909922,ucn3l
-0.770945914,8.88087269424494e-07,0.001080256,acap3b
0.442348707,1.69087711225978e-06,0.001909846,dedd1
-0.691555639,1.88911190556469e-06,0.001991502,si:dkey-117m1.4
0.680775621,2.61269462151719e-06,0.002582159,si:ch73-242m19.1
-0.315916759,5.03553809099831e-06,0.004683939,sf3b3
0.811516837,5.96087641231925e-06,0.004703788,s100b
2.32391988,5.99857523132986e-06,0.004703788,XLOC_033136
0.947929995,6.39155505974866e-06,0.004703788,csrnp1a
-0.496406952,6.44958361600263e-06,0.004703788,arid1b
-0.772527893,6.60850251237376e-06,0.004703788,manba
-0.546357816,6.84165682081194e-06,0.004703788,tapbp.2
-0.515774851,7.75259724940732e-06,0.005107993,tap2t
0.703809398,8.38886748904606e-06,0.005229336,calr3b
0.610279796,8.59816246817896e-06,0.005229336,msmo1
0.661671776,1.16513244072843e-05,0.006711815,fat2
0.79467366,1.23217037071293e-05,0.006711815,slc25a55a
0.533041177,1.24108283901174e-05,0.006711815,bcl6ab
-0.322307306,1.2733474734248e-05,0.006711815,si:ch73-269m14.2
0.825040781,1.36083634049818e-05,0.006941582,pmch
0.46559652,1.63834352654224e-05,0.008044805,mrpl47
-0.70849168,1.67886277557779e-05,0.008044805,opn3
-0.415031456,1.76691685248721e-05,0.008217722,tex10
-0.311937524,1.94860901323298e-05,0.008474409,BX005003.1
-0.419821034,2.01393735901296e-05,0.008474409,si:dkey-29p10.4
-1.010237882,2.05023787868407e-05,0.008474409,scml4
-0.471681721,2.06154149994971e-05,0.008474409,znf362a
0.899250668,2.09006470326982e-05,0.008474409,slc17a6b
-0.963868295,2.2675431994123e-05,0.008964165,cxadr
-0.330471874,2.47218803507861e-05,0.009534807,cluha
0.53357421,2.61595019458741e-05,0.009604574,pcp4l1
-0.270260001,2.67800142910387e-05,0.009604574,arhgef7a
