,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,mutation
1,GOCC_CYTOSOLIC_RIBOSOME,GOCC_CYTOSOLIC_RIBOSOME,85,-0.675571466,-2.513562577,1e-10,2.31725e-07,2.23052631578947e-07,5070,"tags=85%, list=27%, signal=62%",rpl36/mrps11/rpl12/rpl15/rpl31/rpl32/rplp0/rpl3/rps11/rpl11/rps20/rpl35/rps16/rpl34/rpl35a/rpl21/rps13/rps15a/rps29/rpl13a/rps2/rps24/rps7/rps25/zcchc17/rpl23a/rpl18/rps3a/rps4x/rpl39/rpl22/rpl19/rps8a/rpl8/rpl7/rps5/rps3/rplp1/rpl30/rps18/rps27.1/rpl28/rpl36a/rps9/rpl17/rpl13/rps26l/rps14/rpl5a/rpl10a/rpl9/rpl27/rpl18a/rpsa/rpl7a/rpl23/rps6/rps21/rps28/rps15/rpl38/rps19/rps12/rpl26/rps27a/hbae3/uba52/rpl24/rpl29/rpl4/rpl10/rplp2l,t238p
2,GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,141,-0.603224398,-2.387562568,1e-10,2.31725e-07,2.23052631578947e-07,5301,"tags=66%, list=29%, signal=47%",mrpl52/mrps17/mrpl27/mrpl30/rpl36/mrpl34/mrps11/rpl12/rpl15/zgc:171480/rpl31/mrpl36/rpl32/mrpl10/mrpl35/ndufa7/rplp0/mrps33/mrpl24/rpl3/mrps25/rps11/rpl11/mrps16/rps20/rpl35/rps16/mrps34/rpl34/mrpl41/rpl35a/rpl21/rps13/rps15a/mrpl2/rpl22l1/rps29/rpl13a/rps2/mrpl33/rps24/rps7/rps25/rpl23a/rpl18/rps3a/rps4x/rpl39/rpl22/mrpl11/rpl19/rps8a/rpl8/rpl7/rps5/rps3/rplp1/rpl30/rps18/rps27.1/rpl28/rpl36a/rps9/rpl17/rpl13/rps26l/rps14/rpl5a/rpl10a/rpl9/rpl27/mrpl20/rpl18a/rpsa/rpl7a/rpl23/rps6/rps21/rps28/rps15/rpl38/rps19/rps12/rpl26/rps27a/uba52/rpl24/rpl29/rpl4/mrpl16/mrps7/rpl10/rplp2l,t238p
3,GOCC_RIBOSOMAL_SUBUNIT,GOCC_RIBOSOMAL_SUBUNIT,156,-0.589766024,-2.347872177,1e-10,2.31725e-07,2.23052631578947e-07,5301,"tags=63%, list=29%, signal=45%",mrpl52/mrps17/mrpl27/mrpl30/rpl36/mrpl34/mrps11/rpl12/rpl15/zgc:171480/rpl31/mrpl36/mrps10/rpl32/mrpl10/mrpl35/rplp0/mrps33/mrpl24/rpl3/rps11/rpl11/mrps16/rps20/rpl35/rps16/mrpl53/mrpl58/mrps34/rpl34/mrpl41/rpl35a/rpl21/rps13/rps15a/mrpl2/mrpl39/rps29/rpl13a/rps2/mrpl33/rps24/rps7/rps25/zcchc17/rpl23a/rpl18/rps3a/rps4x/rpl39/rpl22/mrpl11/rpl19/rps8a/rpl8/rpl7/rack1/rps5/rps3/rplp1/rpl30/rps18/rps27.1/rpl28/rpl36a/rps9/rpl17/rpl13/rps26l/rps14/rpl5a/rpl10a/rpl9/rpl27/mrpl20/rpl18a/rpsa/rpl7a/rpl23/rps6/rps21/rps28/rps15/rpl38/rps19/rps12/rpl26/rps27a/hbae3/uba52/rpl24/rpl29/rpl4/mrpl16/mrps7/rpl10/rplp2l/mrps27,t238p
4,GOCC_RIBOSOME,GOCC_RIBOSOME,184,-0.55348278,-2.267683997,1e-10,2.31725e-07,2.23052631578947e-07,5301,"tags=59%, list=29%, signal=42%",mrpl52/mrps17/mrpl27/mrpl30/mtg2/rpl36/mrpl34/mrps11/rpl12/rpl15/zgc:171480/rpl31/mrpl36/mrps10/rpl32/mrpl10/mrpl35/ndufa7/rplp0/mrps33/mrpl24/dhx9/rpl3/rps11/rpl11/mrps16/rps20/rpl35/nr0b1/rps16/mrpl53/mrpl58/mrps34/rpl34/mrpl41/rpl35a/rpl21/rps13/rps15a/mrpl2/mrpl39/rpl22l1/rps29/rpl13a/rps2/mrpl33/rps24/rps7/rps25/zcchc17/rpl23a/rpl18/rps3a/rps4x/rpl39/rpl22/mrpl11/rpl19/rps8a/rpl8/rpl7/rack1/rps5/rps3/rplp1/rps6kl1/rpl30/rps18/rps27.1/rpl28/rpl36a/rps9/rpl17/rpl13/rps26l/rps14/rpl5a/rpl10a/rpl9/rpl27/mrpl20/canx/rpl18a/rpsa/rpl7a/rpl23/rps6/rps21/rps28/rps15/rpl38/rps19/rps12/rpl26/rps27a/hbae3/uba52/rpl24/rpl29/rpl4/mrpl16/elavl4/mrps7/rpl10/rplp2l/eif2ak2/mrps27/larp1,t238p
5,GOCC_LARGE_RIBOSOMAL_SUBUNIT,GOCC_LARGE_RIBOSOMAL_SUBUNIT,98,-0.589010242,-2.23306761,1.67564637646288e-08,3.10631325268688e-05,2.99005867092618e-05,5491,"tags=63%, list=30%, signal=45%",rpl37/rpl6/mrpl52/mrpl27/mrpl30/rpl36/mrpl34/rpl12/rpl15/zgc:171480/rpl31/mrpl36/rpl32/mrpl10/mrpl35/rplp0/mrpl24/rpl3/rpl11/rpl35/mrpl53/mrpl58/rpl34/mrpl41/rpl35a/rpl21/mrpl2/mrpl39/rpl13a/mrpl33/zcchc17/rpl23a/rpl18/rpl39/rpl22/mrpl11/rpl19/rpl8/rpl7/rplp1/rpl30/rpl28/rpl36a/rpl17/rpl13/rpl5a/rpl10a/rpl9/rpl27/mrpl20/rpl18a/rpl7a/rpl23/rpl38/rpl26/uba52/rpl24/rpl29/rpl4/mrpl16/rpl10/rplp2l,t238p
6,GOBP_CYTOPLASMIC_TRANSLATION,GOBP_CYTOPLASMIC_TRANSLATION,136,-0.523008593,-2.061005112,6.50128002036649e-08,0.000100434,9.66751744782919e-05,5089,"tags=60%, list=28%, signal=43%",eif3d/rpl36/rpl12/rpl15/rpl31/unk/rpl32/rplp0/dhx9/rpl3/pabpc1b/cnbpa/rps11/rpl11/rps20/rpl35/rps16/rpl34/rpl35a/rpl21/rps13/rps15a/rpl22l1/rps29/rpl13a/rps2/rps24/rps7/rps25/rpl23a/rpl18/rps3a/eif2s2/rps4x/rpl39/eif3s10/rpl22/rpl19/rps8a/rpl8/eif4h/rpl7/rps5/rps3/rplp1/rpl30/rps18/hnrnpua/rps27.1/rpl28/rpl36a/rps9/rpl17/rpl13/rps26l/rps14/cnbpb/rpl5a/rpl10a/rpl9/rpl27/rpl18a/rpsa/ybx1/rpl7a/rpl23/rps6/rps21/rps28/rps15/rpl38/rps19/rps12/rpl26/rps27a/uba52/rpl24/rpl29/rpl4/rpl10/rplp2l,t238p
7,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,48,-0.687941385,-2.286658718,8.24440454449628e-08,0.000109168,0.000105082,5070,"tags=92%, list=27%, signal=67%",rpl37/rpl6/rpl36/rpl12/rpl15/rpl31/rpl32/rplp0/rpl3/rpl11/rpl35/rpl34/rpl35a/rpl21/rpl13a/zcchc17/rpl23a/rpl18/rpl39/rpl22/rpl19/rpl8/rpl7/rplp1/rpl30/rpl28/rpl36a/rpl17/rpl13/rpl5a/rpl10a/rpl9/rpl27/rpl18a/rpl7a/rpl23/rpl38/rpl26/uba52/rpl24/rpl29/rpl4/rpl10/rplp2l,t238p
8,GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,37,-0.699333529,-2.231701485,2.36040098190298e-06,0.002490453,0.002397247,4237,"tags=81%, list=23%, signal=63%",rps11/rps20/rps16/rps13/rps15a/rps29/rps2/rps24/rps7/rps25/rps3a/rps4x/rps8a/rps5/rps3/rps18/rps27.1/rps9/rps26l/rps14/rpsa/rps6/rps21/rps28/rps15/rps19/rps12/rps27a/hbae3/uba52,t238p
9,GOCC_NON_MOTILE_CILIUM,GOCC_NON_MOTILE_CILIUM,127,-0.501520598,-1.96700983,2.41817654121737e-06,0.002490453,0.002397247,4370,"tags=46%, list=24%, signal=35%",npy2rl/cetn4/ocrl/atp1a2a/elmod3/atp8a2/spata7/pdcb/arl13b/nphp4/gnat1/pcdh1g18/rcvrna/crb1/pex6/si:dkeyp-27e10.3/tmem237a/sdccag8/rd3/whrna/myo7aa/lyar/slc24a4a/ttc8/napepld/grk1a/gnat2/si:dkey-126g1.9/rsph9/drd2a/cerkl/arl13a/tulp1a/si:ch73-167i17.6/lca5/gngt1/impg1b/dnaaf4/prph2a/crocc2/pde6b/cnga1b/grk7a/arr3a/ahi1/pcdh15a/grk7b/rp1l1a/drd1b/cdh23/opn1lw2/rho/rab8a/tulp1b/opn1sw1/dynll2a/cfap410/opn1lw1/cetn2,t238p
10,GOBP_SKELETAL_SYSTEM_DEVELOPMENT,GOBP_SKELETAL_SYSTEM_DEVELOPMENT,392,0.315228625,1.552589876,3.40408824337206e-06,0.003155249,0.003037163,3907,"tags=32%, list=21%, signal=26%",deaf1/hapln2/tgm2b/tgfbi/srfa/ptprc/sp3a/chad/loxa/bmp6/acvr2aa/yrk/dmrt2a/wnt1/slc2a10/fgf4/dym/mmp2/hhip/kdr/bmpr1aa/phex/esrra/hand2/wnt9b/fsta/gdf10a/csrnp1b/loxl2b/p2rx7/srd5a1/tfa/prelp/bmp2a/trpv4/fgfrl1a/eif2ak3/ndr2/usp1/itgb8/tsku/bmp3/wnt5b/has2/scin/rspo2/pdgfra/mapk3/kita/tp63/actn3b/snx10a/papss1/pdgfc/ptpn6/fgfr3/snx19b/sulf1/rab23/sulf2b/acvrl1/pip4k2aa/zfpm1/tapt1b/notum1a/ror2/rb1/sox4a/papss2b/smad2/msx2b/barx2/hif1ab/tfap2a/dchs1b/atp7a/bmp5/ebp/hapln1b/epha2b/spns2/itgb6/chsy1/bgnb/gdf5/zfand5b/sox5/phospho1/lnpk/myoc/insig1/cmklr1/smad5/si:dkey-172h23.2/acana/tbx15/snai1a/tbx3a/tmem119b/ryk/gsc/flvcr1/wnt7aa/foxp1b/ext2/hoxd4a/rps6ka3b/mks1/ctsk/chrd/wasf2/pora/skia/smad1/foxc1a/mapk14a/rassf2a/tgfbr2b/nle1/wnt10b/prpsap2/nog3/fgf8a/ankhb/tll1/tmem107l/fam20cb,t238p
