"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOMF_STRUCTURAL_CONSTITUENT_OF_EYE_LENS","GOMF_STRUCTURAL_CONSTITUENT_OF_EYE_LENS","GOMF_STRUCTURAL_CONSTITUENT_OF_EYE_LENS",18,-0.898485930970638,-2.45139507811866,2.25660224382578e-10,2.14241817028819e-06,2.11954334964815e-06,945,"tags=78%, list=5%, signal=74%","BFSP1/mipa/cryba1a/crybb2/crygmxl1/crygn1/cryaa/cryba2b/si:dkey-57a22.15/bfsp2/crybb1/lim2.5/cryba4/cryaba"
"HP_ZONULAR_CATARACT","HP_ZONULAR_CATARACT","HP_ZONULAR_CATARACT",35,-0.736661960491255,-2.33169031186952,1.03688203586289e-07,0.000338311532241903,0.000334699344981817,945,"tags=43%, list=5%, signal=41%","cfap410/BFSP1/opa3/mipa/cryba1a/crybb2/gna11b/recql4/hsf4/si:dkey-57a22.15/crybb1/lim2.5/gja8b/cryba4/gja3"
"GOBP_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE","GOBP_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE","GOBP_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE",78,-0.607329394530506,-2.2428473954122,1.06902738226849e-07,0.000338311532241903,0.000334699344981817,1941,"tags=35%, list=10%, signal=31%","skila/sox11a/pitx3/lctla/wnt2bb/BFSP1/tgfbr1b/foxe3/med1/bcar3/mipa/cryba1a/crybb2/crygmxl1/hsf4/crygn1/cryba2b/si:dkey-57a22.15/bfsp2/crybb1/lim2.5/gja8b/slc7a11/cryba4/cryaba/birc7/cdkn1bb"
"GOBP_CAMERA_TYPE_EYE_DEVELOPMENT","GOBP_CAMERA_TYPE_EYE_DEVELOPMENT","GOBP_CAMERA_TYPE_EYE_DEVELOPMENT",294,-0.382222444505415,-1.71917808605216,4.82550970577174e-06,0.0114533472866492,0.0113310587117372,3214,"tags=23%, list=16%, signal=20%","spred2b/nectin1b/hcn1/grm6b/sos1/rpgrip1/phactr4b/vax1/spred3/vegfaa/igfn1.3/rd3/clic4/pax2a/celf4/bmpr2b/lama1/bcl11ba/arhgap35a/skila/sox11a/twist1b/rom1a/ephb1/sox9a/nrl/rhoj/pdgfrb/pitx3/dio3a/opn5/lctla/wnt2bb/mfrp/tub/ttll5/BFSP1/myf5/lhx1a/tgfbr1b/col8a1b/foxe3/limk2/med1/sp3a/bcar3/acvr2ba/kdr/mipa/slc17a6b/cryba1a/crybb2/crygmxl1/hsf4/crygn1/cryba2b/znf513b/si:dkey-57a22.15/bfsp2/crybb1/lim2.5/gja8b/slc7a11/cryba4/cryaba/birc7/cdkn1bb/jmjd6"
"GOCC_NEURON_TO_NEURON_SYNAPSE","GOCC_NEURON_TO_NEURON_SYNAPSE","GOCC_NEURON_TO_NEURON_SYNAPSE",321,-0.371052563370739,-1.68128992286852,6.0335459395427e-06,0.0114564970300037,0.0113341748249557,5041,"tags=36%, list=25%, signal=27%","cpeb1b/shank3b/lrp8/atp7a/lrrc4ba/src/prrt1/rpl14/kcnd2/nrgna/syt11b/syt9a/dbn1/ptprsa/atp2b2/dnajb1b/adam22/pcloa/grik5/dnajc6/pick1/cabp1a/lrfn5a/ppp1r9a/usp8/rusc1/dtnbp1a/rps25/abhd17b/adgrl1a/add2/hnrnph1/kcnd3/grip2b/rgs7bpa/cpeb4b/rnf19a/cacng5b/kcnd1/map1b/oprd1a/sema4c/grin2aa/bace1/mapk8ip2/adcy1b/plppr4a/dlgap3/adora1b/nectin1b/bsnb/grm6b/nlgn3a/tanc1a/sos1/abhd17aa/tsc2/nlgn2a/akap9/grid2/nsmfa/shisa8b/dcc/nlgn4xb/spock1/ppp1r9ba/dlg2/nrcama/tnika/camk2a/cnksr2a/shank1/iqsec3b/ctnnd1/slc30a2/add1/bmpr2b/cdh2/prr12b/slc6a9/dlgap1a/drd3/bcr/phb2a/lzts3b/grm3/palm1a/crtc1b/sh3gl3a/syngap1b/grin2da/cadm1a/nos1/lin7c/gria1b/slc8a3/dlg4a/cacng2a/shisa9b/ptprdb/mink1/pde4ba/kcnh1a/cdk5/epha7/cacng7a/epha4l/gphna/dtnbb/adgrb1a/mt2/cryaba/grm5b/gria1a/ntsr1"
"HP_PUNCTATE_CATARACT","HP_PUNCTATE_CATARACT","HP_PUNCTATE_CATARACT",10,-0.905240218350586,-2.15476725308422,1.21386353270656e-05,0.0187559520102176,0.0185556927685265,666,"tags=60%, list=3%, signal=58%","opa3/crybb2/hsf4/crybb1/lim2.5/gja8b"
"GOCC_GLUTAMATERGIC_SYNAPSE","GOCC_GLUTAMATERGIC_SYNAPSE","GOCC_GLUTAMATERGIC_SYNAPSE",276,-0.374434565740287,-1.6729358274793,1.58044676723974e-05,0.0187559520102176,0.0185556927685265,5257,"tags=38%, list=26%, signal=29%","syt1a/cadpsa/arpc5la/nos1apa/ophn1/camkvb/lrrc4ba/src/sema3fa/kcnd2/nrgna/dbn1/atp2b2/gabrr1/erc2/dnajb1b/cplx2/pcloa/grik5/rab11a/lrfn5a/tnr/nptx1l/puraa/usp8/elavl4/napbb/gripap1/dtnbp1a/sv2a/atp2b3b/adgrl3.1/nrp1a/cdkl5/grip2b/rgs7bpa/rnf19a/cacng5b/gucy1b1/dlgap4b/grin2aa/htr2ab/cdh11/adcy1b/arpc5lb/ppfia3/plppr4a/dlgap3/bsnb/si:ch1073-140o9.2/nlgn3a/abhd17aa/akap9/grid2/sh3gl2a/nlgn4xb/stxbp1a/ppp3cca/nrcama/tnika/cnksr2a/shank1/ctnnd1/slc30a2/plat/dynll2a/dlgap1a/drd3/bcr/adam23a/slc6a17/phb2a/il1rapl2/grm3/clcn3/erbin/ephb1/drd4b/crtc1b/ppp1cab/sh3gl3a/cdh1/ap3d1/numb/syngap1b/grin2da/lgi1b/psd2/gria1b/caly/itgb3b/dlg4a/cacng2a/shisa9b/ptprdb/fzd9a/cdk5/dnm1b/epha7/dgke/cacng7a/epha4l/grm5b/sparcl1/gria1a"
"GOBP_SENSORY_SYSTEM_DEVELOPMENT","GOBP_SENSORY_SYSTEM_DEVELOPMENT","GOBP_SENSORY_SYSTEM_DEVELOPMENT",343,-0.362697152869939,-1.65977719116399,1.5653356300443e-05,0.0187559520102176,0.0185556927685265,3415,"tags=23%, list=17%, signal=20%","bcl2b/rx3/six6a/sipa1l3/spred2b/nectin1b/hcn1/grm6b/nipblb/sos1/rpgrip1/phactr4b/vax1/spred3/vegfaa/igfn1.3/rd3/sema3ab/clic4/pax2a/celf4/bmpr2b/meis2a/lama1/bcl11ba/arhgap35a/skila/sox11a/twist1b/sox2/rom1a/frem2a/ephb1/sox9a/nrl/rhoj/pdgfrb/pitx3/dio3a/opn5/pbx4/pbx1a/lctla/wnt2bb/mfrp/tub/ttll5/c3a.1/BFSP1/myf5/lhx1a/tgfbr1b/col8a1b/foxe3/limk2/med1/sp3a/bcar3/acvr2ba/kdr/mipa/slc17a6b/cryba1a/crybb2/crygmxl1/hsf4/crygn1/cryba2b/znf513b/si:dkey-57a22.15/bfsp2/crybb1/lim2.5/gja8b/slc7a11/cryba4/cryaba/birc7/cdkn1bb/jmjd6"
"GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION",40,0.625410725904535,2.06509293206402,6.64465258623433e-05,0.0591700080446041,0.0585382437419758,1958,"tags=35%, list=10%, signal=32%","LOC103910107/nod2/panx3/malt1/caspa/lgals9l3/panx1a/s100v1/ccl19a.1/ccl19b/inavab/s100v2/trim16/si:ch211-22k7.9"
"GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE","GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE","GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE",114,-0.456136373187242,-1.80716188651955,6.27390865673931e-05,0.0591700080446041,0.0585382437419758,4977,"tags=43%, list=25%, signal=33%","lrrc4ba/gabrd/kcnd2/ptprsa/atp2b2/adam22/grik5/lrfn5a/nrp1a/kcnd3/rgs7bpa/cacng5b/slc6a1b/oprd1a/grin2aa/htr2ab/adcy1b/plppr4a/adora1b/cel.1/nlgn3a/abhd17aa/nlgn2a/gabra5/lrrtm1/grid2/dcc/nlgn4xb/oprm1/nrcama/cdh2/gabra4/slc6a9/drd3/grm3/clcn3/grin2da/gria1b/oprk1/dlg4a/cacng2a/shisa9b/slc6a6b/epha7/cacng7a/epha4l/slc6a6a/grm5b/gria1a"
"GOCC_POSTSYNAPTIC_MEMBRANE","GOCC_POSTSYNAPTIC_MEMBRANE","GOCC_POSTSYNAPTIC_MEMBRANE",239,-0.381575512919177,-1.66736328367479,6.85559393817827e-05,0.0591700080446041,0.0585382437419758,4993,"tags=38%, list=25%, signal=29%","shank3b/lrrc4ba/gabbr2/prrt1/gabrd/kcnd2/nrgna/dbn1/syne1b/ptprsa/atp2b2/gabrr1/chrnb3a/adam22/chrm3a/grik5/lrfn5a/gabra1/chrnb4/dtnbp1a/nrp1a/abhd17b/kcnd3/grip2b/rgs7bpa/cacng5b/kcnd1/kcnma1a/slc6a1b/oprd1a/sema4c/grin2aa/glra2/htr2ab/adcy1b/plppr4a/adora1b/cel.1/kcnc3a/grm6b/nlgn3a/abhd17aa/nlgn2a/gabra5/lrrtm1/akap9/grid2/shisa8b/dcc/nlgn4xb/glra3/oprm1/dlg2/nrcama/cnksr2a/shank1/grik1b/iqsec3b/cdh2/musk/gabra4/slc6a9/drd3/grm3/clcn3/ank2b/glra1/grin2da/picalma/gria3b/lin7c/gria1b/oprk1/itgb3b/gria4a/dlg4a/cacng2a/dgkb/shisa9b/rph3ab/kcnh1a/slc6a6b/epha7/cacng7a/gabrb1/epha4l/gphna/slc6a6a/grm5b/gria1a"
"GOMF_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",27,0.685410122678104,2.05455181901355,9.41688747943465e-05,0.0638599498069661,0.0631781105105228,3486,"tags=59%, list=17%, signal=49%","slc2a11a/slc23a1/slc5a2/slc2a2/slc2a12/slc5a1/slc5a9/slc50a1/mfsd4aa/aqp11/aqp3a/mfsd4b/slc5a11/aqp7/slc45a1/slc2a10"
"GOBP_RESPONSE_TO_CHEMOKINE","GOBP_RESPONSE_TO_CHEMOKINE","GOBP_RESPONSE_TO_CHEMOKINE",39,0.610819958672113,2.01175785063024,8.10931891377337e-05,0.0638599498069661,0.0631781105105228,2945,"tags=38%, list=15%, signal=33%","ptk2ba/cxcr5/ccr9a/ccl20b/loxa/ptk2bb/ccl19a.1/ccl19b/dusp1/foxc1a/ccl25b/cxcl8a/wbp1la/cxcl12b/hif1ab"
"GOCC_POSTSYNAPTIC_DENSITY_MEMBRANE","GOCC_POSTSYNAPTIC_DENSITY_MEMBRANE","GOCC_POSTSYNAPTIC_DENSITY_MEMBRANE",83,-0.509379849924032,-1.91037345372915,8.98228485477235e-05,0.0638599498069661,0.0631781105105228,4977,"tags=43%, list=25%, signal=33%","lrrc4ba/prrt1/ptprsa/atp2b2/adam22/grik5/lrfn5a/abhd17b/rgs7bpa/cacng5b/oprd1a/sema4c/grin2aa/adcy1b/plppr4a/abhd17aa/akap9/grid2/dcc/nlgn4xb/dlg2/nrcama/cnksr2a/drd3/grin2da/lin7c/gria1b/dlg4a/cacng2a/shisa9b/kcnh1a/epha7/cacng7a/epha4l/grm5b/gria1a"
"HP_ABNORMAL_ERYTHROCYTE_ENZYME_LEVEL","HP_ABNORMAL_ERYTHROCYTE_ENZYME_LEVEL","HP_ABNORMAL_ERYTHROCYTE_ENZYME_LEVEL",32,-0.631227452349221,-1.94883252448487,0.000121587989865934,0.0765948597530368,0.0757770485044679,2,"tags=9%, list=0%, signal=9%","ada2b/ada/khk"
"GOBP_RNA_SPLICING","GOBP_RNA_SPLICING","GOBP_RNA_SPLICING",347,-0.345916573474468,-1.58377086489444,0.000129083395412744,0.0765948597530368,0.0757770485044679,6203,"tags=37%, list=31%, signal=26%","zc3h10/srek1ip1/wbp4/srrm2/mbnl2/tsen15/thoc6/rnpc3/hnrpkl/snrpd3l/trpt1/srsf7b/wtap/supt6h/hnrnpl/hnrnpr/fam172a/gcfc2/snrpc/mbnl1/eftud2/pqbp1/cwf19l2/khsrp/prmt1/pcbp4/rbm4.1/rbm25b/luc7l/zc3h13/srsf10b/zcrb1/lsm1/snrpb/hnrnpua/bcas2/phf5a/snrpd1/lsm8/snrnp27/srsf2b/rbfox2/rbm15b/srsf2a/rbmx2/sfswap/luc7l3/pdcd7/znf326/nrde2/psip1a/casc3/ddx39ab/elavl4/srrm1/celf1/u2af1/zranb2/snrnp35/snrpd2/rbm8a/hnrnph1/puf60a/akap8l/srpk1b/snrpa1/ddx39b/nsrp1/ccnl1a/khdc4/thoc2/hnrnpa1b/srsf11/lsm5/snrnp70/ildr2/rsrc1/ppwd1/qki2/nova2/raver2/pnn/ern1/brdt/rbm24a/rbm4.2/celf2/sart3/cdk13/acin1a/fus/alyref/taf15/ptbp2b/rbfox3a/snrnp48/ppp1r9ba/ppie/celf3a/ptbp3/gpatch1/hnrnpm/khdrbs2/dazap1/celf5a/celf4/setx/rbm11/gemin5/dyrk1ab/hnrnpa1a/zbtb7a/ivns1abpa/zrsr2/akap17a/srrm4/ythdc1/zgc:103482/srek1/syncrip/nup98/polr2a/raver1/nono/clp1/jmjd6/prmt5"
