"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","medulla oblongata","medulla oblongata",286,-0.383064080171137,-1.68680614656151,4.67931532819576e-06,0.000168455351815047,9.35863065639153e-05,6032,"tags=49%, list=29%, signal=35%","plxna4/tshz3b/ntrk2b/ucn3l/alcama/nlgn4xa/reln/slc25a14/syn2a/phox2a/ucp2/prkacab/gria4b/crhb/b3gat1a/pyya/prom1a/pou4f1/ddb1/sema6dl/mtbl/gfra1b/mdga2a/rxfp3.3b/gabra2a/nlgn2b/atp7a/htr5aa/chata/auts2a/ca8/tac3b/nefma/tenm3/kiss1ra/id4/slc2a3a/plxna2/pax6b/ddc/plxnb2b/rxfp2l/nr4a3/fgfr2/rxfp3.2b/grin1b/grm6a/slitrk1/oprd1b/gabra1/chrnb4/id2a/adgrl3.1/grm4/spon1b/wdr81/prkacaa/hoxc1a/cart2/fbrsl1/brpf1/lmx1ba/oprd1a/nectin1a/pcdh1a/tph1b/galnt18a/grm1b/mchr1b/crhr1/roraa/spred2b/cart3/gria2a/nectin1b/hcrtr2/nlgn3a/myo10l1/npy/gria3a/meis2b/nlgn2a/gabra5/grid2/cart4/elavl3/urp1/pcdh7a/nlgn4xb/stxbp1a/kcnab2b/bdnf/tph2/rxfp1/oprm1/tmtops2a/camk2a/pax2a/pax6a/meis2a/st8sia2/gabra4/hcrt/myo5aa/gad1a/tcf4/grm3/pcdh9/plxna1a/pcdh1b/prokr1b/pitx3/cacna1aa/pcdh7b/cadm1a/slc18a2/kcnn1b/nos1/cadm3/scn1ba/gria3b/ngfra/gria1b/atp6v0cb/oprk1/prkcab/gria4a/th/slc31a1/lmx1a/ppp1r1b/nr4a2a/pcdh19/slc17a6b/aplp2/tenm4/mt2/grm5b/gria1a"
"2","corpus cerebelli","corpus cerebelli",139,-0.410262862333635,-1.66763731075204,0.000345768198625782,0.00414921838350938,0.00230512132417188,6216,"tags=46%, list=30%, signal=32%","id1/cadm2a/creb1a/anos1b/alcama/nlgn4xa/reln/ucp2/ncam1b/barhl1b/ptf1a/mtbl/sncb/nlgn2b/auts2a/ca8/kiss1ra/id4/dnajb6b/st6galnac5b/grm6a/oprd1b/gabra1/id2a/adgrl3.1/grm4/znf385c/fbrs/fbrsl1/scn8aa/inab/grm1b/roraa/kcnc3a/nlgn3a/phactr4b/nlgn2a/grid2/atoh1b/foxp1b/ssx2ipb/nlgn4xb/gabbr1a/foxp4/dazap1/pfkfb3/ncam1a/plxdc1/dgkh/st8sia2/zbtb18/grm3/dyrk1ab/cadm3/oprk1/th/lhx1a/ppp1r1b/atxn7/pcdh19/slc17a6b/atoh1c/mt2/grm5b"
"3","thalamus","thalamus",278,-0.3497302513184,-1.53859025419125,0.000244932034314832,0.00414921838350938,0.00230512132417188,6308,"tags=47%, list=31%, signal=33%","dla/hrh3/gfap/unc5da/id1/cadm2a/creb1a/anos1b/plxna4/ntrk2b/nr2f1b/otx1/adcyap1r1a/hsf1/id2b/trpm3/slc25a14/syn2a/ucp2/prkacab/gria4b/crhb/kctd8/pyya/ncam1b/prom1a/cabp7b/barhl1b/lhx9/sema6dl/opn4b/bmp1a/robo1/adipor1a/uncx4.1/lhx2b/pou3f1/gabra2a/nlgn2b/pafah1b1b/vwc2/tac3b/adcyap1b/kiss1ra/id4/slc2a3a/plxna2/igsf21b/dlb/ddc/lef1/plxnb2b/rxfp2l/nr4a3/fgfr2/rxfp3.2b/manf/slitrk1/oprd1b/barhl2/gbx2/kcnj8/id2a/irx7/adgrl3.1/hsd3b2/spon1b/prkacaa/cart2/her6/fbrsl1/galr2b/uncx/neurog1/oprd1a/pcdh1a/spred2b/gria2a/nectin1b/hcrtr2/nlgn3a/gria3a/nlgn2a/cyp17a2/cdh23/elavl3/ptch2/pcdh7a/nlgn4xb/klf7a/bdnf/rprml/tac3a/wnt4b/pax6a/meis2a/st8sia2/itgav/hcrt/zfhx4/zbtb18/mdga1/gad1a/tcf4/dyrk1ab/pcdh9/pcdh1b/prokr1b/pitx3/hsf2/pcdh7b/ebf2/cadm1a/lgi1b/nos1/cadm3/ednraa/gria3b/gria1b/oprk1/itgb3b/prkcab/gria4a/th/lhx1a/nr4a2a/ntrk3a/pcdh19/adcyap1r1b/grm5b/gria1a"
"4","caudal tuberculum","caudal tuberculum",197,-0.360563110574438,-1.52852788906532,0.00125101850870612,0.0112591665783551,0.0062550925435306,5475,"tags=41%, list=27%, signal=30%","barhl1b/sema6dl/mtbl/otpb/adipor1a/nlgn2b/sema3fa/chata/auts2a/vwc2/adcyap1b/prkcbb/kiss1ra/id4/slc2a3a/plxna2/opn8c/dlb/ddc/rxfp2l/vip/rxfp3.2b/barhl2/prox1a/id2a/col15a1b/adgrl3.1/hsd3b2/grm4/spon1b/cart2/fbrsl1/galr2b/neurog1/opn7c/rx3/grm1b/mchr1b/hcrtr2/nlgn3a/nlgn2a/cyp17a2/grid2/nlgn4xb/klf7a/bdnf/th2/rxfp1/chl1a/pth2/tac3a/gabra4/itgav/hcrt/zbtb18/gad1a/sox2/tcf4/grm3/opn9/pitx3/opn5/ebf2/cadm1a/nos1/cadm3/sema3ga/oprk1/itgb3b/prkcab/th/ppp1r1b/sema3gb/nr4a2a/atxn7/pcdh19/adcyap1r1b/mt2/grm5b/ntsr1"
"5","habenula","habenula",160,-0.361291174340112,-1.49720872685716,0.00301559726018897,0.0216934177046866,0.0120518987248259,6536,"tags=49%, list=32%, signal=34%","sncgb/tac1/adrb2a/robo3/cbln2b/opn6a/gfap/zgc:101731/cadm2a/creb1a/anos1b/tubb5/flrt2/id2b/trpm3/syn2a/ucp2/gria4b/kctd8/pyya/cadps2/igf2a/pou4f1/mtbl/ttc39c/sncb/pou3f1/cavin4b/chata/pafah1b1b/kiss1ra/id4/opn8c/rxfp2l/nr4a3/rxfp3.2b/grm6a/gng8/id2a/hsd3b2/grm4/nrp1a/spon1b/pnoca/ndrg4/calb2b/cpne4a/spred2b/gria2a/sst1.1/grm6b/fign/cyp17a2/lrrtm1/zmat4a/elavl3/tac3a/gnao1a/c1ql4b/hcrt/zbtb18/grm3/dyrk1ab/opn9/fstl4/pcdh7b/cadm1a/cadm3/gria1b/prkcab/trpc5a/gria4a/pcdh19/slc17a6b/elfn1b/abca5/mt2/gria1a"
"6","ventral telencephalon","ventral telencephalon",197,-0.345768599447005,-1.46580981780357,0.00361556961744776,0.0216934177046866,0.0120518987248259,5674,"tags=40%, list=27%, signal=29%","ucp2/gria4b/crhb/prom1a/fgfr3/mtbl/otpb/gfra1b/adipor1a/pou3f1/six3b/nlgn2b/auts2a/pafah1b1b/vwc2/tenm3/kiss1ra/id4/slc2a3a/pax6b/ddc/rxfp2l/nr4a3/fgfr2/rxfp3.2b/manf/ntn1a/id2a/adgrl3.1/hsd3b2/grm4/spon1b/her6/fbrsl1/calb2b/glra2/six6a/grm1b/mchr1b/spred2b/gria2a/hcrtr2/ppp3ccb/npy/nlgn2a/cyp17a2/vax1/grid2/ntn1b/elavl3/nlgn4xb/tac3a/pax6a/meis2a/st8sia2/gabra4/hcrt/zbtb18/sox11a/gad1a/sox2/pcdh9/opn5/borcs8/caln2/cadm1a/nos1/cadm3/ednraa/gria3b/oprk1/gria4a/th/nr4a2a/pcdh19/tenm4/mt2/grm5b/gria1a"
"7","valvula cerebelli","valvula cerebelli",142,-0.357343847207312,-1.45669322461639,0.00674382163257837,0.0269752865303135,0.0149862702946186,4987,"tags=37%, list=24%, signal=28%","auts2a/pikfyve/ca8/adcyap1b/prkcbb/kiss1ra/id4/opn8c/dnajb6b/st6galnac5b/slitrk1/oprd1b/gabra1/id2a/hsd3b2/znf385c/fbrsl1/scn8aa/inab/opn7c/roraa/spred2b/kcnc3a/nlgn3a/phactr4b/nlgn2a/cyp17a2/grid2/atoh1b/foxp1b/ssx2ipb/gabbr1a/foxp4/dazap1/pfkfb3/pax2a/ncam1a/plxdc1/dgkh/st8sia2/zbtb18/grm3/dyrk1ab/cadm1a/cadm3/trpc3/oprk1/prkcab/ppp1r1b/atxn7/pcdh19/atoh1c"
"8","dorsal telencephalon","dorsal telencephalon",235,-0.322742354268898,-1.39046133787047,0.00603673350255637,0.0269752865303135,0.0149862702946186,6309,"tags=45%, list=31%, signal=31%","bcl11aa/hrh3/gfap/id1/cadm2a/creb1a/anos1b/ntrk2b/otx1/id2b/reln/syn2a/gria4b/crhb/prom1a/fgfr3/grik1a/scrt1b/mtbl/gfra1b/robo1/adipor1a/sncb/limk1a/nlgn2b/scrt1a/lrp8/auts2a/pafah1b1b/tac3b/tenm3/adcyap1b/lmo4a/prkcbb/kiss1ra/id4/slc2a3a/pax6b/rab11a/plxnb2b/rxfp2l/nr4a3/fgfr2/rxfp3.2b/manf/oprd1b/gabra1/barhl2/prox1a/id2a/col15a1b/hsd3b2/spon1b/cart2/her6/fbrsl1/mcm5/neurog1/calb2b/baz1b/oprd1a/inab/glra2/six6a/mchr1b/spred2b/gria2a/nectin1b/ppp3ccb/nlgn3a/npy/gabra5/cyp17a2/dcc/bdnf/nfixb/oprm1/gnao1a/pax6a/st8sia2/gabra4/hcrt/zbtb18/onecut1/tcf4/grm3/dyrk1ab/borcs8/dab1b/fzd9b/cadm1a/nos1/cadm3/gria3b/trpc3/oprk1/prkcab/gria4a/lhx1a/wnt7ba/pcdh19/ndr2/tenm4/grm5b/gria1a"
"9","olfactory bulb","olfactory bulb",225,-0.320420495681511,-1.3770685151526,0.00549626281342361,0.0269752865303135,0.0149862702946186,5395,"tags=34%, list=26%, signal=26%","syt1a/gfra1b/sncb/mef2d/nlgn2b/per2/gabrd/mef2aa/pafah1b1b/pgk1/adcyap1b/lmo4a/kiss1ra/slc2a3a/galnt18b/ift52/plxnb2b/fgfr2/grin1b/oprd1b/gabra1/irs1/id2a/mafaa/s100b/grm4/spon1b/kcnd3/ahi1/galr2b/calb2b/sema4c/inab/dmrt3a/grm1b/spred2b/gria2a/nectin1b/grm6b/nlgn3a/gria3a/nlgn2a/cart4/gpr158a/cdh23/klf7a/bdnf/dlg2/evlb/gnao1a/pax6a/st8sia5/meis2a/zmynd10/st8sia2/dlgap1a/zbtb18/stmn2b/fstl4/eno2/igdcc3/pcdh7b/cadm1a/cadm3/gria3b/trpc3/gria1b/oprk1/nos2a/gria4a/th/trpc4b/pcdh19/tenm4/gabrb1/grm5b/gria1a"
"10","dorsal thalamus","dorsal thalamus",121,-0.376605196422727,-1.50581986768951,0.010259330952689,0.0335759922088004,0.0186533290048891,6948,"tags=54%, list=34%, signal=36%","pcp4a/mtnr1bb/cadm2b/mtnr1ba/gfod2/plxna3/foxp2/pcdh10b/dla/hrh3/gfap/id1/cadm2a/creb1a/plxna4/otx1/trpm3/syn2a/ucp2/ncam1b/prom1a/cabp7b/lhx9/opn4b/robo1/lhx2b/pou3f1/tac3b/id4/slc2a3a/plxna2/lef1/manf/oprd1b/gbx2/id2a/adgrl3.1/spon1b/cart2/fbrsl1/galr2b/neurog1/hcrtr2/gria3a/cdh23/klf7a/pax6a/itgav/hcrt/zbtb18/pcdh9/ebf2/cadm1a/lgi1b/nos1/cadm3/ednraa/oprk1/itgb3b/prkcab/th/nr4a2a/pcdh19/grm5b/gria1a"
