"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","microglia","microglia",165,0.516693770643971,2.14242501359387,3.13267975899811e-10,1.8169542602189e-08,8.24389410262659e-09,4802,"tags=54%, list=23%, signal=42%","si:ch211-283g2.2/btk/glipr2/itgb2/il10ra/si:ch211-147m6.1/cxcr3.2/SLA (1 of many)/tnfb/si:ch211-1o7.3/si:ch73-281k2.5/spice1/ccr9a/lcp2a/serpinb1l1/wasb/si:ch211-125e6.5/plxnc1/spi1a/tnfaip8l2a/xaf1/cx32.2/fam49ba/nrros/si:dkey-69o16.5/lgals9l3/lcp1/si:ch211-212k18.7/ctss2.2/zgc:194312/gpr183a/rac2/hmha1b/enpp1/bin2b/capgb/ms4a17a.10/cebpb/lgals2a/rgs13/hcls1/mpeg1.1/glud1a/NCKAP1L/skap2/si:ch211-226m16.2/gnpda1/spi1b/si:dkey-25e12.3/si:ch73-236c18.7/alox5ap/ctsa/ctsh/irf8/slco2b1/c1qc/p2ry11/ncf1/ctsz/marco/arpc1b/apoeb/rgs2/rnaseka/si:dkey-102g19.3/lect2l/ehd4/zgc:123107/lgals9l1/mfng/pycard/c1qb/tcirg1b/si:dkeyp-68b7.12/pitpnaa/si:dkey-5n18.1/gsto2/havcr1/si:cabz01074946.1/asah1b/lgals3bpa/zmp:0000001082/mapre1a/bzw2/ctsl.1/arhgap4a/ctss2.1/wasa/scpep1"
"2","dorsal diencephalon (thalamus) #1","dorsal diencephalon (thalamus) #1",227,-0.463772575076901,-2.00353539833877,1.18192087875195e-08,3.42757054838065e-07,1.55515905098941e-07,7559,"tags=52%, list=37%, signal=34%","cnih3/zgc:153426/luzp2/aldocb/stmn1b/tcf7l2/ak5/gng2/ckmt1/gng3/BNC1/cbx1b/camk2d2/runx1t1/camk2n1a/necab1/pcp4a/rtn4r/olfm1b/csdc2a/cplx2l/stap2a/gap43/calm3a/ngb/zgc:65894/ca10a/calm1a/cntnap2a/ptmaa/calm2a/hsbp1a/marcksb/ldb2b/cbln2b/tox/snap25a/marcksl1b/si:dkeyp-123h10.2/tubb5/mab21l1/olfm3a/ppiab/stx1b/alcama/syn2a/smdt1a/crhb/pou4f1/barhl1b/hmgb1a/lhx9/syt1a/robo1/fam49a/ywhag1/sncb/nrn1a/pou3f1/si:dkey-238f9.1/camkvb/nat8l/fundc1/syt9a/rnd1b/tenm3/adcyap1b/si:ch211-196l7.4/lef1/cdk5r2a/elmod1/nptx1l/barhl2/cygb2/hmgb3a/id2a/nrp1a/hist2h2l/zfhx3/CAMK2N1/myt1la/rnasekb/shox/maptb/bcl2b/gnb1b/gpm6aa/nova2/dnajc5aa/celf2/epb41a/stxbp1a/rbfox3a/bdnf/pth2/ldb2a/khdrbs2/gabrb4/slc6a1a/st8sia5/gas7a/bsg/celf4/bcl11ba/syt2a/vamp2/plxna1a/stmn2b/eno2/rnd1a/pbx1a/pcdh7b/atp6v0cb/ncalda/pde4ba/si:ch211-202e12.3/pcdh19/slc17a6b/fam168a"
"3","olfactory bulb","olfactory bulb",196,0.471292071359537,1.97552111968176,3.89525852790584e-08,7.53083315395128e-07,3.41689344553143e-07,5131,"tags=53%, list=25%, signal=40%","tgm1l2/si:ch73-111k22.3/or106-2/cx28.8/WDR63/nwd1/kif6/si:ch211-113e8.9/rsph14/armc3/tspan35/zgc:113425/f11r.1/efcab6/tekt1/si:rp71-17i16.6/plscr3a/zgc:110353/CABZ01025780.1/abhd2b/epdl1/or111-11/si:ch73-335l21.2/dzip1l/tmem238b/spag6/nme8/setd1bb/iqub/spef2/gcnt7/tprg1/si:dkey-184p9.7/wdr78/soul2/svopl/spint2/ap1m2/cfap53/si:dkey-16l2.17/epcam/CABZ01118004.1/mef2b/vsig8a/si:ch1073-443f11.2/zgc:158263/ap1s3b/cfap52/glod5/or106-8/echdc2/si:ch211-153b23.5/gbgt1l4/ildr1b/foxj1b/fa2h/anxa13l/zgc:113333/foxp1a/ethe1/esyt3/nqo1/oclnb/pir/fabp10b/prrg2/gsnb/ponzr6/or115-7/zgc:64106/capn2l/ildr1a/nme5/cyp2k17/pvalb5/fxyd1/anxa1a/ccdc151/gipc2/slc31a2/gsto2/TSTD1/zswim2/cnga4/icn/cdc25d/cldnb/nog5/atp2b1b/hs3st1l2/chga/cldnh/si:zfos-1056e6.1/tescb/BX511021.2/aifm4/atp1b1a/ppil1/gpx1b/gstp1/vamp8/tspan2a/htatip2"
"4","dorsal diencephalon (thalamus) #2","dorsal diencephalon (thalamus) #2",223,-0.426777687717711,-1.84185957150054,8.35369348051377e-07,1.2112855546745e-05,5.49585097402222e-06,7266,"tags=52%, list=35%, signal=34%","calb2a/pbx3b/zgc:153426/luzp2/stmn1b/ak5/gng2/ckmt1/si:dkey-7j14.5/gng3/cbx1b/ppp1r14c/atp6v1c1a/camk2n1a/pcp4a/olfm1b/csdc2a/cplx2l/ppp1r1c/necap1/calm3a/ca10a/calm1a/ptmaa/calm2a/marcksb/h1f0/lmo1/cbln2b/mcama/tox/snap25a/ntng2a/marcksl1b/si:dkeyp-123h10.2/mab21l1/atf5b/slc35g2b/sfxn5b/nmnat2/stx1b/KCNV1/tfap2e/dynll2b/syn2a/pou4f1/hmgb1a/lhx9/ywhag1/sncb/nrn1a/lhx2b/pou3f1/si:dkey-238f9.1/stc2a/camkvb/nat8l/hp1bp3/fundc1/auts2a/nrgna/efna2a/syt9a/atp2b2/id4/si:ch211-254n4.3/si:ch211-196l7.4/lef1/tsc22d1/gabra1/kcnj3b/zgc:153018/barhl2/hmgb3a/id2a/CAMK2N1/kctd15a/grip2b/myt1la/rnasekb/ndrg4/shox/zgc:92287/bcl2b/oaz2b/roraa/gpm6aa/nova2/dnajc5aa/epb41a/zmat4a/pcdh7a/stxbp1a/rbfox3a/map6d1/cacng8b/RAMP1/khdrbs2/slc6a1a/bsg/pcp4l1/si:ch73-290k24.5/bcl11ba/syt2a/vamp2/sox11a/si:ch73-1a9.3/stmn2b/eno2/pcdh7b/h3f3d/chd3/atp6v0cb/fam168a/CT990561.1/erfl1"
"5","progenitors/differentiating granule cells (hindbrain)","progenitors/differentiating granule cells (hindbrain)",219,-0.42566307623699,-1.83473601095968,2.08103828925717e-06,2.36318485167843e-05,1.07222543179602e-05,6988,"tags=47%, list=34%, signal=32%","camk2n1a/syt4/ncam2/csdc2a/zic6/gap43/caskb/zgc:77880/calm1a/mt-nd3/gb:bc139872/fxyd6/ptmaa/cited2/marcksb/appa/cbln2b/sept5a/fgd1/si:ch211-214j24.9/cacna2d2a/atl1/marcksl1b/si:dkeyp-123h10.2/hmgb1b/gfra2b/tubb5/dpysl3/stx1b/zic2b/syn2a/si:dkey-81l17.6/dachd/wdr48a/crhb/kdm6bb/creb3l3l/zgc:77056/barhl1b/syt1a/rdh10a/sncb/hp1bp3/fundc1/tenm3/adcyap1b/si:ch211-196l7.4/chd6/tgfa/srgap1b/vip/cdk5r2a/KHDRBS3/elmod1/msi2b/rac3a/jam3a/hmgb3a/hgsnat/elavl4/sv2a/map1aa/nrp1a/olfm2b/si:ch1073-184j22.2/rnasekb/kcnma1a/si:ch73-138e16.2/scamp1/acvr2ab/gpm6aa/vav3b/nova2/opcml/tnrc6c1/npy/epb41a/ddit3/elavl3/stxbp1a/khdrbs2/draxin/slc6a1a/bsg/celf4/tirap/myrip/zfhx4/vamp2/sox11a/slc6a17/pcdh9/si:ch73-1a9.3/stmn2b/sypb/srrm4/pip4k2ab/cadm1a/atp6v0cb/ndrg2/zgc:123105/tmtops2b/pcdh19/galnt13"
"6","diencephalon (tuberculum; gabaergic)","diencephalon (tuberculum; gabaergic)",224,-0.412342059367564,-1.78274398638278,2.44467398449493e-06,2.36318485167843e-05,1.07222543179602e-05,7541,"tags=48%, list=37%, signal=31%","pbx3b/aldocb/stmn1b/tmeff2b/ptprn2/gad2/shdb/si:ch211-195b15.8/gng2/ckmt1/si:dkey-7j14.5/gng3/cbx1b/msi2a/osbp2/camk2n1a/cox5aa/cox5ab/bhlhe22/csdc2a/cplx2l/necap1/zgc:65894/slc32a1/ptmaa/calm2a/ypel3/marcksb/si:ch211-214j24.9/cacna2d2a/snap25a/marcksl1b/hmgb1b/mab21l1/pnocb/ppiab/stx1b/si:dkey-26c10.5/syn2a/zgc:77056/cabp7b/hmgb1a/mtbl/vgf/otpb/fam49a/sncb/tubb2/si:dkey-238f9.1/fundc1/pgk1/vsnl1b/id4/cplx2/srgap1b/upf3a/grin1b/cdk5r2a/msi2b/hmgb3a/elavl4/map1aa/hist2h2l/znf385c/CAMK2N1/rgs7bpa/rnasekb/uncx/slc6a1b/zbtb16a/kif5bb/maptb/si:dkey-175g6.2/fam19a5b/gpm6aa/nova2/tnrc6c1/dnajc5aa/chd5/pou3f2b/meis2b/elavl3/stxbp1a/nkx1.2lb/cacng8b/NPAS3/slc6a1a/cox6b1/gas7a/nhlh2/celf4/dynll2a/prdm8/syt2a/vamp2/sall3a/eno2/map1ab/mast2/h3f3d/glra1/atp6v0cb/lhx1a/ndrg2/fam168a/erfl1/cox8b"
"7","hindbrain/cranial nerve","hindbrain/cranial nerve",224,-0.40849257050683,-1.76610087913428,3.60783413534792e-06,2.98934828357399e-05,1.35632862231125e-05,6883,"tags=48%, list=33%, signal=33%","fgf1a/csdc2a/cplx2l/necap1/gap43/zgc:65894/calm1a/cntnap2a/snap25b/cd9a/vamp1/ptmaa/calm2a/ypel3/lancl2/marcksb/cbln2b/si:ch211-214j24.9/snap25a/marcksl1b/tshz3b/ppiab/kcnh8/sh3glb2b/stx1b/atcaya/fam131bb/dynll2b/syn2a/tgif1/zgc:77056/hmgb1a/mtbl/vgf/sncb/tubb2/si:dkey-238f9.1/scrt1a/nat8l/hoxb2a/slc24a4a/cacna2d3/vsnl1b/id4/mab21l2/evx2/cdk5r2a/rac3a/gbx2/tppp2/hmgb3a/elavl4/nr5a2/CAMK2N1/hoxc1a/rgs7bpa/mpp2a/uncx/map1b/maptb/dmrt3a/gpm6aa/kcnc3a/nova2/slc6a5/dnajc5aa/meis2b/gabra5/elavl3/rims2a/hoxd3a/stxbp1a/rbfox3a/nkx1.2lb/hoxa5a/fgf12b/fndc5b/stmn4l/camta1a/myt1b/hoxb3a/khdrbs2/pax2a/slc30a2/gas7a/bsg/dynll2a/zgc:65851/syt2a/vamp2/glrba/pik3r3b/mpped2a/sox11a/adam23a/stmn2b/eno2/map1ab/pcdh7b/fam184b/glra1/atp6v0cb/lhx1a/hoxc8a/slc17a6b/fam168a/trib2/cox8b"
"8","optic tectum (gabaergic) #1","optic tectum (gabaergic) #1",225,-0.406433992173797,-1.75298609632922,6.92051047689397e-06,5.01737009574813e-05,2.27648370950459e-05,7553,"tags=47%, list=37%, signal=30%","lrrtm2/zgc:153426/aldocb/stmn1b/tcf7l2/gad2/gng2/ckmt1/si:dkey-7j14.5/gng3/cbx1b/msi2a/atp6v1c1a/camk2n1a/syt4/cox5aa/cox5ab/csdc2a/cplx2l/necap1/gap43/zgc:65894/abhd3/slc32a1/fxyd6/cd9a/ptmaa/calm2a/ypel3/marcksb/lmo1/si:ch211-214j24.9/cacna2d2a/snap25a/marcksl1b/hmgb1b/pnocb/ppiab/pclob/stx1b/doc2d/syn2a/creb3l3l/zgc:77056/mtbl/vgf/fam49a/ywhag1/sncb/tubb2/six3b/dpm2/fundc1/pgk1/id4/slc2a3a/cplx2/nxph2b/cdk5r2a/msi2b/rac3a/hmgb3a/sox14/elavl4/sv2a/map1aa/hist2h2l/znf385c/nkain1/CAMK2N1/tmem178b/rnasekb/uncx/nrxn3a/slc6a1b/maptb/bcl2b/si:dkey-175g6.2/ppfia3/gpm6aa/nova2/dnajc5aa/npy/stxbp1a/nkx1.2lb/cacng8b/khdrbs2/slc6a1a/sst1.2/cox6b1/gas7a/bsg/celf4/dynll2a/syt2a/vamp2/sox11a/stmn2b/eno2/pbx1a/atp6v0cb/rac3b/nppc/lhx1a/ndrg2/cox8b"
"9","mid-hind boundary (gabaergic) #1","mid-hind boundary (gabaergic) #1",222,-0.410038050314003,-1.76937930415516,7.80376417075611e-06,5.02909246559838e-05,2.28180238910997e-05,7266,"tags=50%, list=35%, signal=33%","gng2/ckmt1/rcan3/si:dkey-7j14.5/gng3/cbx1b/msi2a/atp6v1c1a/stmn3/camk2n1a/csdc2a/cplx2l/necap1/zgc:65894/calm1a/slc32a1/cntnap2a/cd9a/vamp1/ptmaa/calm2a/lancl2/marcksb/ywhaqa/si:ch211-214j24.9/nkx6.2/snap25a/marcksl1b/mab21l1/ppiab/nmnat2/sh3glb2b/stx1b/syn2a/creb3l3l/zgc:77056/mtbl/ywhag1/sncb/gpc1a/tubb2/pgam1b/scrt1a/nat8l/hoxb2a/fundc1/cacna2d3/vsnl1b/lmo4a/id4/rab11a/mab21l2/upf3a/nkx6.1/rac3a/gbx2/hmgb3a/elavl4/map1aa/znf385c/camta1b/CAMK2N1/rgs7bpa/rnasekb/slc6a1b/dmrt3a/bcl2b/si:dkey-175g6.2/gpm6aa/nova2/slc6a5/opcml/dnajc5aa/chd5/meis2b/elavl3/rims2a/hoxd3a/stxbp1a/rbfox3a/nkx1.2lb/cacng8b/evlb/irx2a/stmn4l/hoxb3a/vsnl1a/pax2a/lbx2/slc6a1a/cox6b1/slc30a2/gas7a/bsg/irx4a/dynll2a/pax2b/syt2a/vamp2/sox11a/eno2/map1ab/srrm4/pcdh7b/h3f3d/glra1/cadm3/atp6v0cb/si:dkeyp-113d7.10/lhx1a/ndrg2/fam168a"
"10","telencephalon (pallium), glutamatergic #2","telencephalon (pallium), glutamatergic #2",217,-0.413557471069383,-1.78568725658657,1.00913181514075e-05,5.85296452781637e-05,2.65561003984409e-05,5677,"tags=47%, list=27%, signal=35%","camk2n1a/necab1/st6gal2a/rtn4r/olfm1b/bhlhe22/pip5k1ca/gap43/calm3a/ngb/neurod6b/zgc:65894/ca10a/fxyd6/ptmaa/hsbp1a/marcksb/olfm1a/hmgb1b/tubb5/adcyap1r1a/gpr22a/creb3l3l/ebf3b/atp6ap1a/lhx9/syt1a/rtn4rl2a/fam49a/sncb/uncx4.1/nrn1a/ppm1nb/si:dkey-238f9.1/fundc1/mef2aa/tac3b/syt9a/ek1/tp53i11b/adcyap1b/tnfaip8l3/srgap1b/cdk5r2a/ccl44/elmod1/barhl2/col14a1a/hmgb3a/rab6ba/elavl4/r3hdm1/sv2a/map1aa/fmn2a/cart2/pnoca/rnasekb/ndrg4/maptb/adcy2a/sfrp1b/zmat4b/gpm6aa/bsnb/nova2/dnajc5aa/foxg1a/celf2/chd5/soga1/klf7a/bdnf/dclk1b/rprml/CU929259.1/khdrbs2/draxin/celf4/zgc:110699/bcl11ba/dpf1/vamp2/zbtb18/ppp1r14ba/dok6/stmn2b/sypb/pcdh7b/syngap1b/cadm3/atp6v0cb/tbr1a/ncalda/palmdb/si:ch211-154c21.1/zgc:165603/ptprdb/ppfia4/trpc4b/slc17a6b/tcea2/susd5"
