"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","GOCC_CHROMOSOME_CENTROMERIC_REGION","GOCC_CHROMOSOME_CENTROMERIC_REGION",173,0.512245359561158,1.89038837158584,9.93560667568865e-07,0.00473381980063186,0.00471470683094784,4712,"tags=41%, list=24%, signal=31%","knstrn/cenph/zwilch/cenpe/esco2/cenpf/birc5a/cdca8/si:dkey-6i22.5/chmp3/spc25/cenpk/ncapd3/mad2l1/cdca5/spc24/top2a/si:dkey-25o16.4/bub1/mis18a/ncapg/ndc80/kif18a/ppp2r5a/znf618/aurkb/dscc1/cdt1/cenpn/nudcd2/ezh2/ccnb1/cenpw/cenpo/hells/spdl1/nsl1/ttk/mis12/cenpi/kntc1/sox7/kif2c/hnrnpub/si:ch211-161h7.4/dsn1/ikzf1/plk1/ska3/wapla/sycp3/chmp2bb/ppp2r5cb/clip1a/ncapd2/smc4/ska1/bub1bb/ercc6l/kat2b/rcc2/chmp4bb/clasp1a/atrx/hnrnpua/lrwd1/cebpb/mis18bp1/cenpp/seh1l/cenpl"
"2","GOBP_MITOTIC_NUCLEAR_DIVISION","GOBP_MITOTIC_NUCLEAR_DIVISION",242,0.47463741383208,1.81546353360814,7.78265160229405e-07,0.00473381980063186,0.00471470683094784,3189,"tags=32%, list=16%, signal=27%","knstrn/zwilch/cenpe/cenpf/kif15/mad2l1bp/ncaph2/nusap1/cdca8/edn3b/chmp3/hsp70.3/smc2/rrs1/kif4/mki67/dmrt1/kif20ba/cenpk/epgn/ncapd3/mad2l1/npm2b/cdca5/cep55l/si:dkey-25o16.4/racgap1/kifc1/bub1/kif11/bora/cdc6/ncaph/ncapg/ndc80/kif18a/numa1/aurkb/dscc1/tacc3/cdt1/pdxp/pttg1/ccnb1/mybl2b/trip13/prmt5/spdl1/nsl1/ttk/rcc1/mis12/map9/aurkaip1/tpx2/smarca5/fbxo5/kntc1/sox7/kif2c/egf/banf1/hnrnpub/chek2/si:ch211-161h7.4/dsn1/phb2a/kif3b/kif23/edn1/dlgap5/chtf8/plk1/pibf1/rhoab/ctdp1/nipblb"
"3","GOCC_APICAL_PLASMA_MEMBRANE","GOCC_APICAL_PLASMA_MEMBRANE",258,-0.408138517884701,-1.78393236829175,1.57242113900667e-06,0.00499453367786487,0.0049743680664155,2976,"tags=25%, list=15%, signal=22%","slc16a8/psen2/pdzd3a/pappa2/acy3.2/slco2b1/shroom1/stk26/slc30a5/enpp1/cybrd1/mfsd4b/fzd6/rhcga/atp1b1b/pfkma/duox/ctsba/ctsla/pard6a/ptpro/nhsa/slc4a2a/plpp1a/slc22a2/slc22a13b/slc26a4/tfa/cyp4t8/fzd3b/shroom3/upk3b/il6r/slc46a1/slc39a8/slc14a2/pdgfrb/cldn1/abcc2/cd44b/slc5a8/slc12a3/slc52a3/slc7a8b/cubn/slc22a6l/trpv6/ceacam1/cyp4f3/muc13b/slc9a3.1/slc7a9/slc2a2/slc2a5/slc23a1/slc22a4/slc34a1a/slc5a12/kl/pdzk1/slc5a1/slc6a19b/dpep1/amn/slc6a18"
"4","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",145,0.51922554132986,1.87247359257521,4.57596458827478e-06,0.0109010916404176,0.0108570780862856,3189,"tags=36%, list=16%, signal=30%","knstrn/zwilch/cenpe/cenpf/mad2l1bp/ncaph2/nusap1/cdca8/chmp3/smc2/rrs1/kif4/cenpk/ncapd3/mad2l1/cdca5/cep55l/si:dkey-25o16.4/racgap1/kifc1/bub1/cdc6/ncaph/ncapg/ndc80/kif18a/numa1/aurkb/dscc1/tacc3/cdt1/pttg1/ccnb1/trip13/spdl1/nsl1/ttk/mis12/smarca5/fbxo5/kntc1/sox7/kif2c/hnrnpub/si:ch211-161h7.4/dsn1/kif23/dlgap5/chtf8/plk1/pibf1/nipblb"
"5","HP_TACHYCARDIA","HP_TACHYCARDIA",107,-0.498268603885368,-1.91639504470975,1.1681355083606e-05,0.0167200325888128,0.0166525248488808,2979,"tags=29%, list=15%, signal=25%","kcnj12b/actn2b/tpm1/vps33a/tpma/fmo5/abca3b/ndufb11/gata4/tmem127/ppox/hcn4l/myl2b/ret/pkp2/jph2/hnf4a/csrp3/plxnd1/si:dkey-239i20.2/slc12a3/csf2rb/nppa/cubn/gata6/nkx2.7/myh6/hcn4/fbp1b/tshr/amn"
"6","HP_VENTRICULAR_ARRHYTHMIA","HP_VENTRICULAR_ARRHYTHMIA",144,-0.46514501453951,-1.91078163991292,1.10195643592808e-05,0.0167200325888128,0.0166525248488808,2979,"tags=28%, list=15%, signal=24%","kcnj12b/actn2b/tpm1/vps33a/slc25a4/tpma/fmo5/myl13/ldb3a/abca3b/ndufb11/gata4/tmem127/ppox/hcn4l/myl2b/ret/pkp2/raf1b/mybpc3/jph2/tgfb3/hnf4a/csrp3/plxnd1/si:dkey-239i20.2/slc12a3/csf2rb/fhl1a/nppa/cubn/gata6/gaa/tnnc1a/nkx2.7/myh6/gja5a/hcn4/fbp1b/tshr/amn"
"7","GOCC_CONDENSED_CHROMOSOME","GOCC_CONDENSED_CHROMOSOME",190,0.478439214307523,1.79053888115023,1.22825299739416e-05,0.0167200325888128,0.0166525248488808,4497,"tags=37%, list=23%, signal=29%","knstrn/cenph/tex11/top3b/zwilch/cenpe/cenpf/birc5a/ago3b/si:dkey-6i22.5/chmp3/smc2/spc25/rrs1/mki67/cenpk/ncapd3/mad2l1/spc24/top2a/si:dkey-25o16.4/bub1/ncapg/ndc80/kif18a/aurkb/hmgb2a/cdt1/brca2/ndnl2/cenpn/nudcd2/ccnb1/cenpw/cenpo/nifk/spdl1/nsl1/ttk/cdk2/rcc1/mis12/cenpi/smarca5/kntc1/sox7/kif2c/banf1/hnrnpub/si:ch211-161h7.4/dsn1/plk1/ska3/wapla/sycp3/chmp2bb/clip1a/ncapd2/baz1b/ska1/bub1bb/ercc6l/kat2b/nsmce1/hmgb1a/chmp4bb/clasp1a/atrx/hnrnpua/lrwd1/cebpb"
"8","GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION","GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION",126,0.53176316699427,1.87744292042849,1.53541109612865e-05,0.0181935073101245,0.0181200503623932,4497,"tags=40%, list=23%, signal=31%","knstrn/cenph/zwilch/cenpe/cenpf/birc5a/si:dkey-6i22.5/chmp3/spc25/cenpk/ncapd3/mad2l1/spc24/si:dkey-25o16.4/bub1/ncapg/ndc80/kif18a/aurkb/cdt1/cenpn/nudcd2/ccnb1/cenpw/cenpo/spdl1/nsl1/ttk/mis12/cenpi/kntc1/sox7/kif2c/hnrnpub/si:ch211-161h7.4/dsn1/plk1/ska3/chmp2bb/clip1a/ncapd2/ska1/bub1bb/ercc6l/kat2b/chmp4bb/clasp1a/atrx/hnrnpua/lrwd1/cebpb"
"9","GOBP_DNA_DEPENDENT_DNA_REPLICATION","GOBP_DNA_DEPENDENT_DNA_REPLICATION",132,0.516595603970773,1.83700113740198,1.89562780628638e-05,0.0181935073101245,0.0181200503623932,5188,"tags=48%, list=27%, signal=36%","poln/e2f7/primpol/e2f8/mcm9/ccne2/atad5a/orc5/cdc7/dbf4b/rrm1/mgme1/gins4/cdc6/dscc1/cdt1/samhd1/wdhd1/gins1/brca2/mcm5/pola2/gins3/gmnn/ccne1/cdk2/mcm3/hmga1a/endog/fen1/fbxo5/pole3/recql4/lig1/atr/mcm4/dbf4/ddx11/chtf8/mettl4/pole2/nucks1a/eme1/rpa2/mms22l/recql/chtf18/gins2/ciz1a/orc6/pold3/pcna/mcm2/atrx/lrwd1/baz1a/zmpste24/tonsl/helb/pola1/terf1/dna2/wdr18/rtel1"
"10","GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS","GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS",193,0.467182826671452,1.74719502808026,1.90927771121047e-05,0.0181935073101245,0.0181200503623932,5127,"tags=39%, list=26%, signal=29%","cryaa/mipa/crygmxl1/lctla/cyp4v8/crygn1/gja3/hsf4/guca1d/crybb1/cryba1a/opn1lw1/cryba4/rom1a/cryba2b/guca1b/rcvrna/si:dkey-57a22.15/lrata/clic5b/bfsp2/slc24a2/nr2e3/opn1lw2/kera/pitpnab/rorb/nrl/crb2a/grk1a/mkks/hmcn1/si:ch73-167i17.6/epas1b/cabp2a/pde6b/cabp2b/pou6f2/col2a1a/opn4b/crybb2/grk7a/cabp4/impg2b/pou4f3/pax6b/oat/nxnl2/hps1/cdh23/rpgrip1/bbs5/gnat2/rpe65a/fscn2b/cplx4a/pdcb/arr3a/rdh5/pde6c/vsx2/impg2a/bbs9/abcc6b.2/bbs4/vsx1/rp1l1a/rs1a/rx3/otx5/opn1sw1/gc2/cabp1a/fam161a/ush2a/cln8"
"11","GOBP_SISTER_CHROMATID_SEGREGATION","GOBP_SISTER_CHROMATID_SEGREGATION",170,0.486322807106887,1.78854223375661,2.43975391123195e-05,0.0206452190403621,0.020561863217315,3189,"tags=34%, list=16%, signal=29%","knstrn/zwilch/cenpe/esco2/cenpf/mad2l1bp/ncaph2/nusap1/cdca8/chmp3/smc2/rrs1/kif4/cenpk/ncapd3/mad2l1/cdca5/cep55l/top2a/si:dkey-25o16.4/racgap1/kifc1/bub1/cdc6/ncaph/ncapg/ndc80/kif18a/numa1/aurkb/dscc1/tacc3/cdt1/pttg1/ccnb1/trip13/spdl1/nsl1/ttk/mis12/fen1/smarca5/fbxo5/kntc1/sox7/kif2c/hnrnpub/si:ch211-161h7.4/dsn1/phb2a/kif23/ddx11/dlgap5/chtf8/plk1/wapla/pibf1/nipblb"
"12","GOBP_CHROMOSOME_SEGREGATION","GOBP_CHROMOSOME_SEGREGATION",264,0.435830026802889,1.68420830250923,2.59988066412368e-05,0.0206452190403621,0.020561863217315,3112,"tags=30%, list=16%, signal=25%","knstrn/cenph/tex11/top3b/nat15/zwilch/cenpe/esco2/cenpf/mad2l1bp/ncaph2/nusap1/cdca8/si:dkey-6i22.5/chmp3/smc2/spc25/ccne2/rrs1/kif4/mki67/m1ap/cenpk/ncapd3/mad2l1/cdca5/spc24/cep55l/top2a/si:dkey-25o16.4/racgap1/kifc1/bub1/cdc6/ncaph/mis18a/ncapg/ndc80/kif18a/numa1/aurkb/dscc1/tacc3/cdt1/cenpn/pttg1/ccnb1/cenpw/trip13/spdl1/nsl1/fam83d/ect2/ccne1/ttk/rcc1/smarcad1a/mis12/fen1/smarca5/fbxo5/kntc1/sox7/kif2c/banf1/hnrnpub/si:ch211-161h7.4/dsn1/phb2a/kif23/ntmt1/ddx11/dlgap5/chtf8/plk1/ska3/wapla/pibf1"
"13","GOMF_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",28,-0.724529273008964,-2.13370794274562,3.40011872746471e-05,0.0231426652528652,0.023049225899866,1122,"tags=36%, list=6%, signal=34%","slc45a1/mfsd4aa/slc2a12/tmem144a/slc2a2/slc2a6/slc5a2/slc2a5/slc23a1/slc5a1"
