log2FoldChange,pvalue,padj,LLgeneAbbrev
-3.221358455,2.15125297201419e-70,5.43793726265748e-66,hdlbpa
1.525152614,4.80215877561434e-33,6.06944847649896e-29,ptprnb
-2.081929683,5.45408497675112e-29,4.59561200141049e-25,p4hb
2.006454818,4.3302604078594e-24,2.73650806474675e-20,ecrg4b
-2.738355485,6.36458690637856e-22,3.21768055638875e-18,ctsll
1.232761087,1.03705607756432e-21,4.3691172547785e-18,stx8
1.42207537,7.1957731092994e-19,2.59849646652672e-15,CR407584.1
2.528960368,1.49710466236196e-14,4.73047645689822e-11,BX511311.3
-1.131593041,9.18056672064175e-14,2.57851517293758e-10,gpr27
-1.360977371,8.77345692349543e-13,2.21775444112118e-09,mybphb
-2.030245796,3.97434415289944e-12,9.13304286336291e-09,XLOC_036545
1.222879497,4.99466788123213e-12,1.05212678918155e-08,stat2
-1.323233157,1.42559721355861e-11,2.77201895110265e-08,nupr1b
1.836135003,1.60579139931153e-10,2.89937107084263e-07,plek2
-0.954031131,2.39300543405738e-10,4.0326927574735e-07,aldh1l1
-1.029917389,2.72507205770914e-10,4.11538861203987e-07,zgc:174863
-1.506323686,2.76768757040421e-10,4.11538861203987e-07,cacng1a
-2.297509295,4.34739204674256e-10,6.10518756430879e-07,CABZ01084081.1
-3.340472664,8.0026471894805e-10,1.06468902976678e-06,ten1
-0.617596202,1.33403178303133e-09,1.6860827705733e-06,slc44a2
0.910643283,1.38095586268317e-08,1.66227629985262e-05,akap12a
0.935465712,2.09528014911789e-08,2.40747689133645e-05,nfil3-6
0.694570671,2.73632520249301e-08,3.00734036820079e-05,pcif1
1.34907301,6.09358100819247e-08,6.41806419687872e-05,fabp11b
-1.04559108,6.78423305825716e-08,6.85967372986498e-05,nit2
0.907090398,1.14932689190242e-07,0.000110794,cyp26a1
1.076768648,1.18342002493459e-07,0.000110794,palm3
0.913165613,1.37750994428519e-07,0.00012436,nprl2
-0.886631496,1.72094614874844e-07,0.000150007,thumpd3
3.291163252,1.8078863119034e-07,0.000152333,LOC110438076
1.163537288,2.3579103171045e-07,0.000192269,asic4b
-0.456858115,3.17444936380975e-07,0.000250762,cx43
-1.269331106,3.37131688119126e-07,0.000258243,slc27a1b
1.091432432,3.94850499942363e-07,0.00029356,loxl2a
-0.497149098,4.30376819128034e-07,0.00031083,aoc2
2.211834368,4.42845144900548e-07,0.000310951,XLOC_042229
0.801539381,4.88664721529366e-07,0.00033385,stk25a
0.653925249,6.611427873794e-07,0.000439799,GCA
0.581163084,8.03894689787031e-07,0.000521047,si:ch211-207j7.2
3.460869079,9.40649255627652e-07,0.000594443,XLOC_001283
1.77255163,1.09721400881451e-06,0.000676473,srsf3a
0.441978489,1.30780969877422e-06,0.000787115,znf207b
1.089699868,1.83717705883805e-06,0.001073245,CABZ01048956.1
-0.408578904,1.86813698381506e-06,0.001073245,ppap2d
0.734117548,2.33494992874427e-06,0.001311619,FP101882.1
0.597301472,2.66419183343313e-06,0.001464031,klf13
0.996198936,2.93270556977801e-06,0.001577296,eevs
0.822190264,3.24674493985023e-06,0.001709817,tnxba
4.066818933,4.2987839144913e-06,0.002217646,XLOC_009786
1.797453126,6.62344488463747e-06,0.003348549,il22ra2
-2.105241619,6.78171135388504e-06,0.003361335,AL935126.2
1.188591245,7.17325033908584e-06,0.003487027,irg1l
5.629192573,7.96539711415164e-06,0.003750701,si:dkey-61p9.11
0.691359901,8.01241588007535e-06,0.003750701,proca1
0.636252456,8.8859693250236e-06,0.004083992,aanat1
-0.61613822,9.37556160558597e-06,0.004232062,zgc:101853
0.998094131,9.83828583972841e-06,0.004363021,hbae1.1
1.195770634,1.07501581626072e-05,0.004685215,col4a3
-0.648017223,1.10868444982204e-05,0.004743696,hsd11b1la
-0.547666871,1.1413056174379e-05,0.004743696,si:dkey-34d22.1
-5.015589327,1.14473250355694e-05,0.004743696,zgc:162999
-0.591106831,1.37086100439981e-05,0.005589133,slc43a2b
-0.53225822,1.5524524012411e-05,0.00622903,myoc
-0.658029536,1.63005011154888e-05,0.006438189,pik3r6a
5.493274849,1.72348817443798e-05,0.006702513,XLOC_009784
0.776129793,1.96518955878711e-05,0.007526676,snorc
-2.121975265,2.20456732287876e-05,0.008317471,slc2a11a
0.846731661,2.50260871375217e-05,0.00930308,chpfb
0.866666335,2.59053832070119e-05,0.009490381,CU499330.1
0.934505964,2.72727086694043e-05,0.009848565,pnp4a
1.077459164,2.90255694152686e-05,0.010129164,ccdc80l1
0.58979815,2.91414189429905e-05,0.010129164,nat16
-0.439538668,2.92518769979782e-05,0.010129164,ccdc174
-0.620281336,3.13054632647818e-05,0.010693777,apcdd1l
0.917755308,3.38731560925796e-05,0.011416609,cd7al
-2.279594732,3.76655210607071e-05,0.01198856,FO203432.1
-0.505258724,3.77397696966959e-05,0.01198856,krt92
-0.601962329,3.77575672986181e-05,0.01198856,prelp
5.42217449,3.80413056888695e-05,0.01198856,insl5a
0.845847282,3.8086793657457e-05,0.01198856,LOC108190589
-0.596710745,3.8415752578327e-05,0.01198856,asb2b
1.465960023,3.94909992211011e-05,0.012173823,LOC101884081
0.568631725,4.06450750808197e-05,0.01235417,si:dkeyp-110c7.4
-0.394447026,4.10534953575208e-05,0.01235417,grm2b
0.537391799,5.00229941427346e-05,0.014753454,pik3r3b
0.842532062,5.0193728341149e-05,0.014753454,si:ch211-69b7.6
-1.166788638,5.84060315772347e-05,0.016969973,si:dkey-11o15.5
0.599464992,6.34471793491546e-05,0.018225202,slc6a8
-0.447804619,6.65051707120392e-05,0.01868479,colec12
0.722316723,6.65254789155705e-05,0.01868479,gale
-0.538196297,6.80529185479239e-05,0.018903755,si:ch73-217n20.1
0.785759253,7.01480195216682e-05,0.019151282,rab8a
0.784316883,7.0459260615716e-05,0.019151282,defbl1
0.5894155,7.21244641339426e-05,0.019395343,mki67
1.433147336,8.02030061697191e-05,0.021340754,ttc22
-0.618448596,8.79534316267025e-05,0.023159238,cldn2
0.695016115,8.93755819475737e-05,0.023291092,cmtm7
-0.563458252,9.22459226902777e-05,0.0237938,styk1b
0.4887418,9.74087208686405e-05,0.024871693,ddx5
-0.533995654,9.91147893484691e-05,0.025054236,ponzr5
1.034567758,0.000100566,0.025060416,rnf151
0.637671347,0.000101122,0.025060416,hmox2b
1.513838435,0.000106697,0.026185336,FO904966.1
-0.556863446,0.000107875,0.02621994,robo4
-0.984531979,0.00010994,0.026467166,sstr5
0.800703862,0.000111632,0.026508627,uggt1
-1.284441922,0.000112209,0.026508627,tgm2a
0.68776948,0.00011959,0.027795288,COQ10A
1.276014761,0.000119855,0.027795288,cthrc1b
0.563650194,0.000122,0.027859905,si:dkey-237i9.1
0.541487515,0.000122338,0.027859905,guca1g
-0.808529429,0.000125416,0.028172564,dusp27
-0.877166286,0.00012594,0.028172564,igfbp5a
0.457919511,0.000128215,0.028430025,zranb2
-0.654646075,0.000133494,0.029343213,etv5b
0.602294859,0.000135842,0.029601893,ube2al
0.644240025,0.000138447,0.029911569,faimb
0.788263244,0.000140408,0.030078251,tk1
-0.51282939,0.000149032,0.031657328,pla2g15
0.702007646,0.000150391,0.031679958,mir22a
0.557906412,0.000152791,0.031919526,si:ch211-276i12.4
-0.822932565,0.000162938,0.033760253,si:ch211-157b11.14
2.048994956,0.000166057,0.034126788,CR318588.1
-0.428816038,0.000172057,0.035074636,slc45a1
0.814959828,0.000178454,0.036087665,cenpe
1.865833616,0.000180083,0.03612809,caspbl
0.579282069,0.000185288,0.036636502,si:ch73-389b16.1
-0.473272887,0.000187119,0.036636502,crtac1a
0.519556981,0.000187164,0.036636502,si:dkey-10p5.10
0.434283377,0.000188415,0.036636502,caspb
0.615901575,0.0002055,0.03892039,oca2
0.712630124,0.000206316,0.03892039,nusap1
0.780333765,0.000206903,0.03892039,cenpf
-0.423812823,0.000207428,0.03892039,fam3a
2.390410227,0.000207859,0.03892039,XLOC_036510
-0.450161603,0.000217915,0.040503272,s1pr1
-0.518377416,0.000219928,0.040579134,acta1a
-0.644370445,0.000227336,0.041530465,postna
-0.750079481,0.000229988,0.041530465,trpv6
0.551115805,0.000230487,0.041530465,cndp2
0.481216777,0.000231656,0.041530465,nr2e3
1.509159235,0.00023473,0.041785325,si:dkey-88j15.3
-0.605920024,0.000239534,0.042342202,cpxm1a
0.599341048,0.000242975,0.042652296,orc5
1.316905602,0.000244823,0.042680217,fgf18a
0.455368636,0.000250479,0.043367142,rhbdl3
-0.626287028,0.000260868,0.044858607,actc1b
-0.731417892,0.000272184,0.046183372,osr2
0.85235273,0.000272226,0.046183372,myh11a
0.794843304,0.000277123,0.046700742,CABZ01021599.1
0.700230178,0.000281085,0.046858402,eif4a1a
0.82689696,0.000281766,0.046858402,rfk
0.597487562,0.000284473,0.046999386,igfbp1a
0.629971663,0.000291611,0.047865869,col9a3
-0.504141471,0.000297955,0.048591727,sgsh
