"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","ventral hypothalamic zone","ventral hypothalamic zone",92,-0.328020224860195,-1.22613951958344,0.126623376623377,1,1,1833,"tags=18%, list=9%, signal=17%","avp/nts/cadm2b/cyp17a1/kiss1ra/cyp17a2/pmch/pgr/nms/kiss2/th2/agrp/hcrt/htr1ab/esr2a/pomca/fdx1b"
"2","median tuberal portion","median tuberal portion",128,-0.300699496425058,-1.20348147345782,0.087719298245614,1,1,2229,"tags=18%, list=11%, signal=16%","pmchl/slc6a3/adcyap1a/avp/nts/cadm2b/cyp17a1/lhx5/kiss1ra/cyp17a2/pmch/pgr/nms/kiss2/th2/agrp/xgb/hcrt/htr1ab/esr2a/pomca/ghsra/fdx1b"
"3","periventricular grey zone","periventricular grey zone",129,-0.291069878134771,-1.16605092401007,0.126760563380282,1,1,2015,"tags=12%, list=10%, signal=11%","ucp3/opn7b/casq1a/cyp17a1/slc1a2b/kiss1ra/slc2a3b/cyp17a2/pmch/opn8c/pgr/hcrt/opn7a/ghsra/ucp1/fdx1b"
"4","valvula cerebelli","valvula cerebelli",146,-0.27965009028377,-1.14772178872906,0.154411764705882,1,1,3798,"tags=24%, list=20%, signal=19%","prl2/kcnj3a/grm1a/st6galnac5b/grm8b/gfod2/prkcbb/casq2/lmo1/mpz/fgf8b/slitrk3b/opn7c/cadm4/slco1c1/atoh1c/fxr1/skor1b/prkcba/nlgn3b/ucp3/opn7b/grm3/cadm2b/cyp17a1/mb/kiss1ra/slc2a3b/cyp17a2/opn8c/pgr/dyrk1aa/opn7a/ucp1/fdx1b"
"5","diencephalic nucleus","diencephalic nucleus",202,-0.257276015140832,-1.09112460176041,0.228915662650602,1,1,2229,"tags=14%, list=11%, signal=13%","pmchl/slc6a3/adra2c/adcyap1a/ucp3/opn7b/avp/nts/cadm2b/cyp17a1/spx/kiss1ra/cyp17a2/pmch/opn8c/pgr/nms/mc4r/kiss2/th2/agrp/xgb/hcrt/htr1ab/esr2a/pomca/ghsra/ucp1/fdx1b"
"6","caudal tuberculum","caudal tuberculum",198,-0.25143080935122,-1.06445807665375,0.272,1,1,2345,"tags=23%, list=12%, signal=20%","her15.1/sema3gb/cart2/grm1a/grm8b/gfod2/prkcbb/bsx/vip/nxph1/rxfp1/opn7c/cadm4/slco1c1/nr4a2a/degs1/pmchl/slc6a3/adra2c/nlgn3b/adcyap1a/opn7b/grm3/nts/cadm2b/cyp17a1/nkx2.4a/lhx5/kiss1ra/cyp17a2/grm2b/pmch/syn3/opn8c/pgr/kiss2/pth2/th2/xgb/hcrt/htr1ab/opn4a/opn7a/ghsra/fdx1b"
"7","medulla oblongata","medulla oblongata",275,-0.23796775968877,-1.04468325248476,0.293532338308458,1,1,5809,"tags=35%, list=30%, signal=25%","fgf8a/pink1/slit3/mdkb/bmper/cldnk/tshz3b/grin1b/slitrk4/gria2b/pvalb7/gfra1a/dmbx1a/auts2a/slitrk1/ghsrb/tenm4/grm8a/rln3a/hrh3/gria1a/ntrk2b/st8sia4/cdnf/olfm2a/tshz2/prr7/adra2a/rxfp3.3b/alcama/htr1aa/met/ngfra/anos1a/cart4/dkk3a/gata3/sema6dl/gnrh3/grm1b/fgfr2/gabra3/her15.1/prl2/cart2/brpf1/grm1a/grm8b/gfod2/ucn3l/tmtopsb/slitrk6/mpz/nxph1/lgmn/slitrk3b/rxfp1/cadm4/nr4a2a/pappaa/ddb1/slitrk2/slc6a3/lmx1al/pcdh10b/mical3b/prkcba/nlgn3b/adcyap1a/ucp3/grm3/cadm2b/ret/tnksb/galnt18a/kiss1ra/slc2a3b/fbxo7/grm2b/prkacba/cntn1a/pmch/syn3/prokr1b/lmx1a/prkcq/htr1b/chrna2b/hcrt/htr1ab/chrnb4/tacr3a/slc2a2/ghsra/ucp1"
"8","preoptic area","preoptic area",195,-0.238550583467556,-1.00915660555143,0.43579766536965,1,1,2199,"tags=14%, list=11%, signal=12%","slc6a3/nlgn3b/adcyap1a/hepacama/avp/nts/cadm2b/cyp17a1/lhx8a/lhx5/tnksb/kiss1ra/slc2a3b/cyp17a2/pomcb/syn3/pgr/mc4r/kiss2/tmtopsa/th2/hcrt/htr1ab/esr2a/opn4a/ghsra/fdx1b"
"9","hypothalamus","hypothalamus",482,-0.215157092339355,-1.00311500442406,0.482014388489209,1,1,4460,"tags=25%, list=23%, signal=20%","anos1a/cart4/tle3a/foxb1b/dlx6a/emx1/arhgap29b/npy8br/shha/otpb/nell2b/gnrh3/rfx4/cdh10a/glis3/tmem184a/nkx2.1/grm1b/fgfr2/tph1a/boc/ntrk2a/her15.1/sst1.1/rfx2/acss1/dnmt3bb.1/ptch2/grm1a/grm8b/selenbp1/gfod2/ucn3l/prkcbb/ephb3a/lmo1/slitrk6/nkx2.2a/fzd8a/ncam2/hhip/bsx/vip/fgf8b/nxph1/pcsk1nl/slitrk3b/rxfp1/opn7c/cadm4/slco1c1/disc1/fstl1a/kctd4/tmtc2a/nr4a2a/syn2b/sox1a/nmur1a/greb1/vasna/cyp3c1/fzd7a/nmur3/etv4/gadd45ba/cyp2p6/pmchl/slitrk2/slc6a3/nlgn3b/adcyap1a/appb/opn7b/grm3/cpm/spry1/avp/nts/cadm2b/cyp17a1/sipa1l2/nkx2.4a/lhx5/tcf7l1a/tnksb/nr6a1b/mb/slc1a2b/mapk1/crlf1a/kiss1ra/cyp17a2/frem3/grm2b/prkacba/shhb/pmch/pomcb/syn3/prokr1b/opn8c/pgr/nms/mc4r/kiss2/tmtopsa/th2/dyrk1aa/agrp/cart1/lrrc3/xgb/hcrt/htr1ab/tacr3a/esr2a/gnrh2/pomca/fgf21/pdyn/ghsra/fdx1b"
"10","brain nucleus","brain nucleus",370,-0.22231324211914,-0.999759185575736,0.467836257309941,1,1,2229,"tags=13%, list=11%, signal=12%","pmchl/slc6a3/lmx1al/ache/adra2c/mical3b/nlgn3b/adcyap1a/appb/ucp3/opn7b/grm3/slc18a3b/avp/nts/cadm2b/cyp17a1/ppp1r1c/ret/spx/kiss1ra/cyp17a2/grm2b/cntn1a/drd3/pmch/prokr1b/opn8c/pgr/nms/mc4r/kiss2/lmx1a/th2/dyrk1aa/agrp/htr1b/tmtops2b/xgb/chrna2b/dcc/hcrt/htr1ab/chrnb4/esr2a/pomca/ghsra/ucp1/fdx1b"
