"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","GOCC_CYTOSOLIC_RIBOSOME","GOCC_CYTOSOLIC_RIBOSOME",82,-0.778468841870012,-3.44833260699804,1e-10,2.93548387096774e-08,2.49847198641766e-08,2486,"tags=85%, list=16%, signal=72%","rpl22/rps15a/rpl11/rpl36a/zcchc17/rpl9/rps27.1/rpl13a/rpl14/uba52/hbae3/rps25/rpl36/rpl5a/dhx29/rps7/rpl29/mrps11/rpl32/rps21/rps20/rplp1/rpl10a/rps27a/rps29/rpl12/rps8a/rps10/rps16/rps23/rpl21/rpl18/rpl23a/rps12/rpl27/rpl13/rplp0/rpl23/rplp2l/rpl28/rpl39/rps13/rpl3/rpl19/rpl24/rpl7/rps9/rpl6/rps14/rpl31/rps15/zgc:114188/rps4x/rpl37/rpl17/rps5/rps3a/rps26l/rpl15/rpl8/rpl18a/rpl7a/rps28/rpl10/rpl27a/rps2/rps6/rpl26/rpsa/rps19"
"2","GOCC_RIBOSOMAL_SUBUNIT","GOCC_RIBOSOMAL_SUBUNIT",153,-0.673858465321941,-3.3822610838792,1e-10,2.93548387096774e-08,2.49847198641766e-08,3136,"tags=67%, list=20%, signal=55%","mrps34/nsun3/mrps26/mrpl42/rps11/rpl35/mrps18a/mrpl57/mrpl13/mrpl45/rpl34/mrpl38/rpl22/rps15a/rpl11/rpl36a/zcchc17/mrpl30/mrps35/mrpl37/mrpl16/rpl9/mrpl14/rps27.1/rpl13a/rpl14/mrps18c/mrps28/uba52/hbae3/rps25/mrpl28/rpl36/rpl5a/dhx29/rps7/rpl29/mrps11/rpl32/rps21/rps20/rplp1/dap3/rpl10a/mrps10/rps27a/rps29/rpl12/mrpl44/mrps7/rps8a/rps10/rps16/rps23/rpl21/mrpl24/rpl18/rpl23a/rps12/mrpl11/rpl27/rpl13/rplp0/mrpl39/mrps24/rpl23/rplp2l/mrpl2/rpl28/mrpl10/rpl39/mrpl4/rps13/mrps5/rpl3/rpl19/rpl24/rpl7/rps9/rpl6/rps14/rpl31/rps15/zgc:114188/rps4x/rpl37/rpl17/rps5/rps3a/rps26l/rpl15/mrpl41/rpl8/rpl18a/rpl7a/rps28/rpl10/rpl27a/rps2/rps6/rpl26/rpsa/rps19"
"3","GOBP_CYTOPLASMIC_TRANSLATION","GOBP_CYTOPLASMIC_TRANSLATION",132,-0.68499966438451,-3.35610767584899,1e-10,2.93548387096774e-08,2.49847198641766e-08,2662,"tags=64%, list=17%, signal=54%","rpl34/drg1/rbm4.1/rpl22/mtor/rps15a/rpl11/rpl36a/mettl3/pabpc1b/rpl9/eif4ba/rps27.1/rpl13a/ftsj1/rpl14/dph1/nck1b/uba52/etf1b/eif3d/denr/rps25/rpl36/rpl5a/dhx29/rps7/rpl29/rpl32/rps21/rps20/rplp1/rpl10a/rps27a/rps29/rpl12/rps8a/rps10/rps16/rps23/rpl21/rpl18/rpl23a/ybx1/rps12/rpl27/rpl13/rplp0/rpl23/eif2b3/rplp2l/eif3c/rpl28/rpl39/rps13/eif2s3/rpl3/rpl19/eif3i/rpl24/rpl7/rps9/rpl6/rps14/rpl31/rps15/zgc:114188/rps4x/rpl37/rpl17/rps5/rps3a/rps26l/rpl15/rpl8/rpl18a/rpl7a/rps28/rpl10/rpl27a/rps2/rps6/rpl26/rpsa/rps19"
"4","GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME","GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME",142,-0.670106617982949,-3.32735460093676,1e-10,2.93548387096774e-08,2.49847198641766e-08,2767,"tags=63%, list=17%, signal=53%","mrps18a/mrpl57/mrpl13/rpl34/rpl22/rps15a/rpl11/rpl36a/srbd1/mrpl30/mrps35/mrpl37/mrpl16/rpl9/mrpl14/rps27.1/rpl13a/rpl14/mrps18c/uba52/rps25/mrpl28/rpl36/rpl5a/rps7/rpl29/mrps11/rpl32/rps21/rps20/rplp1/dap3/rpl10a/rps27a/rps29/rpl12/mrpl44/mrps7/rps8a/rps10/rps16/rps23/rpl21/mrpl24/rpl18/rpl23a/rps12/mrpl11/rpl27/rpl13/rplp0/mrps24/rpl23/rplp2l/mrpl2/rpl28/mrpl10/rpl39/mrpl4/rps13/mrps5/rpl3/rpl19/rpl24/rpl7/rps9/rpl6/rps14/rpl31/rps15/zgc:114188/rps4x/rpl37/rpl17/rps5/rps3a/rps26l/rpl15/mrpl41/rpl8/rpl18a/rpl7a/rps28/rpl10/rpl27a/rps2/rps6/rpl26/rpsa/rps19"
"5","GOCC_RIBOSOME","GOCC_RIBOSOME",181,-0.625855025901655,-3.20921186850529,1e-10,2.93548387096774e-08,2.49847198641766e-08,3230,"tags=61%, list=20%, signal=49%","mrpl47/rrbp1a/mrps34/nsun3/mrps26/mrpl42/rps11/rpl35/mrps18a/eif3hb/mrpl57/mrpl13/mrpl45/rpl34/mtg2/mrpl38/rpl22/rps15a/rpl11/rpl36a/zcchc17/mrpl30/mrps35/mrpl37/mrpl16/rpl9/mrpl14/rps27.1/rpl13a/rpl14/mrps18c/mrps28/nck1b/hspa14/uba52/hbae3/rps25/mrpl28/rpl36/rpl5a/dhx29/rps7/rpl29/mrps11/rpl32/rps21/rps20/rplp1/dap3/rpl10a/mrps10/rps27a/gcn1/rps29/rpl12/mrpl44/mrps7/rps8a/rps10/rps16/rps23/rpl21/mrpl24/rpl18/rpl23a/rps12/mrpl11/rpl27/rpl13/rplp0/mrpl39/mrps24/rpl23/rplp2l/mrpl2/rpl28/mrpl10/rpl39/mrpl4/rps13/mrps5/rpl3/rpl19/rpl24/rpl7/rps9/rpl6/rps14/rpl31/rps15/zgc:114188/rps4x/rpl37/rpl17/rps5/rps3a/rps26l/rpl15/mrpl41/rpl8/rpl18a/rpl7a/rps28/rpl10/rpl27a/rps2/rps6/rpl26/rpsa/rps19"
"6","GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT","GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT",47,-0.783092681155016,-3.13030075000999,1e-10,2.93548387096774e-08,2.49847198641766e-08,2662,"tags=87%, list=17%, signal=73%","rpl34/rpl22/rpl11/rpl36a/zcchc17/rpl9/rpl13a/rpl14/uba52/rpl36/rpl5a/rpl29/rpl32/rplp1/rpl10a/rpl12/rpl21/rpl18/rpl23a/rpl27/rpl13/rplp0/rpl23/rplp2l/rpl28/rpl39/rpl3/rpl19/rpl24/rpl7/rpl6/rpl31/rpl37/rpl17/rpl15/rpl8/rpl18a/rpl7a/rpl10/rpl27a/rpl26"
"7","GOCC_LARGE_RIBOSOMAL_SUBUNIT","GOCC_LARGE_RIBOSOMAL_SUBUNIT",97,-0.665034123053933,-3.06705957635279,1e-10,2.93548387096774e-08,2.49847198641766e-08,3230,"tags=65%, list=20%, signal=52%","mrpl47/nsun3/mrpl42/rpl35/mrps18a/mrpl57/mrpl13/mrpl45/rpl34/mrpl38/rpl22/rpl11/rpl36a/zcchc17/mrpl30/mrpl37/mrpl16/rpl9/mrpl14/rpl13a/rpl14/uba52/mrpl28/rpl36/rpl5a/rpl29/rpl32/rplp1/rpl10a/rpl12/mrpl44/rpl21/mrpl24/rpl18/rpl23a/mrpl11/rpl27/rpl13/rplp0/mrpl39/rpl23/rplp2l/mrpl2/rpl28/mrpl10/rpl39/mrpl4/rpl3/rpl19/rpl24/rpl7/rpl6/rpl31/rpl37/rpl17/rpl15/mrpl41/rpl8/rpl18a/rpl7a/rpl10/rpl27a/rpl26"
"8","GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT","GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT",35,-0.789007140722034,-2.92463771243669,1e-10,2.93548387096774e-08,2.49847198641766e-08,1809,"tags=89%, list=11%, signal=79%","rps15a/rps27.1/uba52/hbae3/rps25/dhx29/rps7/mrps11/rps21/rps20/rps27a/rps29/rps8a/rps10/rps16/rps23/rps12/rps13/rps9/rps14/rps15/zgc:114188/rps4x/rps5/rps3a/rps26l/rps28/rps2/rps6/rpsa/rps19"
"9","GOCC_SMALL_RIBOSOMAL_SUBUNIT","GOCC_SMALL_RIBOSOMAL_SUBUNIT",59,-0.69046535782149,-2.90933406283129,1e-10,2.93548387096774e-08,2.49847198641766e-08,3136,"tags=75%, list=20%, signal=60%","mrps34/mrps26/mrpl42/rps11/mrps18a/rps15a/mrps35/rps27.1/mrps18c/mrps28/uba52/hbae3/rps25/dhx29/rps7/mrps11/rps21/rps20/dap3/mrps10/rps27a/rps29/mrps7/rps8a/rps10/rps16/rps23/rps12/mrps24/rps13/mrps5/rps9/rps14/rps15/zgc:114188/rps4x/rps5/rps3a/rps26l/rps28/rps2/rps6/rpsa/rps19"
"10","GOCC_POLYSOME","GOCC_POLYSOME",57,-0.642455085794489,-2.69865115509071,1e-10,2.93548387096774e-08,2.49847198641766e-08,2718,"tags=54%, list=17%, signal=45%","eif3hb/psma6a/drg1/rpl11/rpl36a/vim/fxr1/vbp1/eif2s1b/rpl36/rpl32/rps21/rpl10a/gcn1/rps29/rps23/rpl18/rpl39/rpl19/rpl24/rpl6/psma1/rpl31/rps4x/rps26l/rpl8/rpl18a/rpl7a/rps28/rpl10/rps6"
