log2FoldChange,pvalue,padj,LLgeneAbbrev
-3.222742454,7.46603402558654e-57,1.27811036484016e-52,cd82b
-4.473226645,1.90842712986302e-45,1.63351820180625e-41,si:dkey-242h9.3
1.736104141,1.28539868221075e-22,7.33491334692193e-19,RASGRF1
1.528050673,1.98712861778694e-21,8.50441370197365e-18,cngb1a
-2.323473151,1.38927760484375e-20,4.75660866346404e-17,bcar1
1.508668476,1.85136716344321e-16,5.28225907849739e-13,opn1lw1
1.134333726,2.38941271404093e-13,5.84347946452382e-10,zgc:158291
1.725249841,4.76991813370976e-13,1.02070285663722e-09,XLOC_024221
1.401064014,3.49637979229872e-12,6.65050285159576e-09,mlc1
1.361738607,2.62349737777911e-11,4.49116516102006e-08,CABZ01040999.1
1.087300503,4.86127513780269e-11,7.56546991673129e-08,grb10b
1.143672075,7.33215230430745e-11,1.04599262747866e-07,si:dkey-166k12.1
-1.540124921,1.69488776533715e-10,2.23190643498513e-07,polr3b
1.007290929,5.3358135716511e-10,6.5245566095068e-07,si:ch211-266g18.10
1.686251197,7.07986668307158e-10,8.08001584983349e-07,tsnaxip1
1.904959215,7.91908117330919e-10,8.4729219128675e-07,thnsl2
1.484917843,1.12505860788689e-09,1.1329340181421e-06,igf2b
0.846618247,4.31320590929883e-09,3.91684498020744e-06,kank2
1.23081712,4.34721973385954e-09,3.91684498020744e-06,b3gnt2l
0.979314403,4.78364091997196e-09,4.09455744545e-06,phlda1
1.349979085,6.46521219434002e-09,5.27037940737651e-06,dyrk4
0.769088148,1.31209510486275e-08,1.02098891364297e-05,kbtbd11
1.260937044,1.58373619654895e-08,1.17878173690094e-05,si:ch73-358j7.2
1.059780646,1.98216322359949e-08,1.41386050936666e-05,FO082781.1
1.064529636,2.08531357974505e-08,1.42793932686622e-05,oxr1a
1.223123496,2.41372104876246e-08,1.58924963976017e-05,slc6a6b
0.897796116,3.55202249995716e-08,2.25211382136173e-05,fgd4a
-0.940544329,5.0834933284302e-08,3.10801151033559e-05,sh3gl2b
1.165403462,5.2781212666541e-08,3.1157295849604e-05,lpar1
0.669358668,7.60378411886437e-08,4.33897267769464e-05,ube2ql1
0.668024815,8.90582967827379e-08,4.91802897620545e-05,fgfr3
1.330478861,1.08085840869496e-07,5.78225471826531e-05,myo5c
2.34078026,1.26185482297577e-07,6.54596748924915e-05,CR847844.1
0.932838574,1.30452670026432e-07,6.56829193583086e-05,slc6a6a
0.938430605,1.35142081726577e-07,6.60999227736362e-05,si:ch211-63p21.1
1.287851474,1.39865264905868e-07,6.65098186089877e-05,XLOC_022740
0.777645263,1.77561097854693e-07,8.21532009236347e-05,bcl2l13
1.094799465,2.14835373441786e-07,9.67833357355246e-05,klf5a
1.051423685,2.75496947009764e-07,0.000119326,smoc1
1.074399038,2.8266520802288e-07,0.000119326,adora1b
