"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","progenitors #1","progenitors #1",227,-0.578430723745164,-3.06748645843244,1e-10,1.04444444444444e-09,6.66666666666667e-10,3065,"tags=54%, list=19%, signal=44%","cdca7b/rrm1/cdca7a/mcm5/rps11/rpl35/orc5/rfc5/si:ch211-156b7.4/rps17/nup37/rpl34/rpl5b/gins3/pa2g4b/rpl22/rps15a/rpl11/rpl36a/mad2l1/rbb4l/mcm2/fabp11a/tuba8l4/rpl9/rps27.1/tuba8l/rpl13a/naca/lig1/rpl14/cdca5/hsp90ab1/h2afvb/eif3ba/paics/uba52/cdc6/esco2/ppiaa/rfc4/rps25/rpl36/rpl5a/rps7/rpl29/rpl32/rpa2/rps21/rps20/nme2b.1/rplp1/ddx39ab/eef2b/rpl10a/rps27a/abcf1/rps29/rpl12/rps8a/rps10/eef1g/rps16/rps23/rpl21/rpl18/orc4/rpl23a/ahcy/hmgb2b/ybx1/rnaseh2a/eef1a1l1/snrpb/rps12/rpl27/rpl13/snrpd1/rplp0/rpl23/ddx21/rplp2l/rpl28/rpl39/rps13/rplp2/rpl3/rpl19/rpl24/rpl7/rps9/rpl6/ak2/rps14/eef1da/rpl31/rps15/rps26/rps4x/eif3ha/rpl17/dlgap5/mcm7/faua/eef1b2/rps5/rps3a/rps26l/rpl15/fkbp3/rpl8/rpl18a/rpl7a/ptgr1/rps28/rpl10/rps2/rps6/aurkb/rpl26/rpsa/rps19/adh5"
"2","progenitors/neurons (differentiating)","progenitors/neurons (differentiating)",218,-0.544241609280276,-2.86157642545272,1e-10,1.04444444444444e-09,6.66666666666667e-10,3189,"tags=56%, list=20%, signal=45%","cdca7b/rtca/snrpd3l/cdca7a/rps11/hnrnpa0a/rpl35/lima1a/phc2a/rps17/psmb3/smarca5/rpl34/rpl5b/pomp/gadd45gb.1/dnajb1b/notch1a/rpl22/rps15a/rpl11/rpl36a/tp53inp2/sox11b/hspa8/mcm2/rpl9/rps27.1/rad21a/rpl13a/naca/rpl14/hsp90ab1/cct4/h2afvb/prdx2/slc25a5/uba52/ebf2/insm1b/ppiaa/h3f3d/rps25/rpl36/rpl5a/rps7/rpl29/rpl32/rps21/rps20/nme2b.1/rplp1/neurog1/smarcb1b/ddx39ab/eef2b/rpl10a/rps27a/rps29/rpl12/rps8a/rps10/ilf2/eef1g/rps16/rps23/rpl21/rpl18/rpl23a/ahcy/hmgb2b/ybx1/eef1a1l1/snrpb/rps12/rpl27/rpl13/rplp0/rpl23/psmb7/eif3ea/psmb1/rplp2l/rpl28/cct3/rpl39/rps13/eif2s3/rpl3/rpl19/eif3i/rpl24/rpl7/rps9/rpl6/ak2/rps14/rpl31/eif3f/rps15/rps26/rps4x/eif3ha/rpl17/faua/eef1b2/rps5/rps3a/rps26l/rpl15/rpl8/rpl18a/rpl7a/rps28/rpl10/rps2/rps6/rpl26/rpsa/rps19/adh5"
"3","progenitors (cycling)","progenitors (cycling)",221,-0.524104283513938,-2.75261751820418,1e-10,1.04444444444444e-09,6.66666666666667e-10,3519,"tags=49%, list=22%, signal=39%","ttk/rps24/ccna2/kif18a/tacc3/kpna2/nek2/ncapg/kif22/gpsm2/cdca7b/rrm1/si:ch211-63o20.7/cdca7a/mcm5/rps11/rpl35/foxn4/cdc20/smc2/si:ch211-156b7.4/si:ch211-156j22.4/pa2g4b/rps15a/rpl11/si:ch211-244o22.2/rpl36a/mad2l1/tp53inp2/parpbp/mcm2/tuba8l4/rpl9/zgc:86764/rps27.1/tuba8l/rpl13a/odf2b/kif11/tmpoa/cdca5/h2afvb/cenpe/rpl5a/rps7/pane1/rps20/nme2b.1/rplp1/eef2b/smc4/si:ch211-69g19.2/rpl10a/rps27a/tubb4b/rpl12/rps8a/rps10/rps16/rps23/rpl21/rpl18/ahcy/hmgb2b/eef1a1l1/rps12/rpl27/rpl13/rplp0/rpl23/rplp2l/rpl39/ncapd2/rps13/traip/rpl3/rpl19/rpl24/rpl7/rps9/rpl6/ak2/rps4x/h2afx/rpl17/dlgap5/faua/zgc:194627/eef1b2/rps5/rps3a/rps26l/rpl15/cdkn3/rpl8/rpl18a/rpl7a/mad2l1bp/ptgr1/rps28/rpl10/rps2/rps6/ska3/aurkb/rpl26/rpsa/rps19/bub3"
"4","neurons (ganglion)","neurons (ganglion)",201,-0.52374347773652,-2.72307747049836,1e-10,1.04444444444444e-09,6.66666666666667e-10,2717,"tags=47%, list=17%, signal=40%","rps17/rpl34/erfl3/six4b/ada/mfsd6b/rpl22/rps15a/rpl11/rpl36a/vim/syt4/hspa8/slc8a2a/ndnfl/rpl9/tuba1a/rps27.1/sirt1/rpl13a/naca/rpl14/hsp90ab1/map7d2b/cdh4/slc25a5/uba52/auts2b/insm1b/isl2a/ppiaa/rps25/tuba8l3/smad9/rps7/rpl32/rps20/nme2b.1/rplp1/eef2b/rpl10a/rps27a/rps29/rpl12/tmeff2b/rps8a/rps10/eef1g/rps16/rps23/rpl21/rpl18/rpl23a/eef1a1l1/rps12/mrpl11/rpl27/rpl13/nme2b.2/rplp0/rpl23/rplp2l/smad5/tubb2/rpl28/rps13/rpl3/rpl19/rpl24/rpl7/rps9/rpl6/rps14/rpl31/eif3f/rps15/rps4x/eif3ha/rpl17/faua/eef1b2/rps5/rps3a/rps26l/chga/rpl15/rpl8/rpl18a/rpl7a/rpl10/rps2/rps6/rpl26/rps19/adh5"
"5","progenitors #2","progenitors #2",217,-0.501893973950328,-2.63766104310291,1e-10,1.04444444444444e-09,6.66666666666667e-10,2774,"tags=44%, list=17%, signal=37%","si:ch211-156b7.4/rps17/rpl34/rpl5b/rpl22/rps15a/rpl11/rpl36a/mcm2/rpl9/rps27.1/rpl13a/naca/lig1/si:ch211-66e2.5/rpl14/paics/uba52/ppiaa/rps25/rpl36/rpl5a/rps7/rpl29/rpl32/rps21/rps20/nme2b.1/s1pr1/zgc:165461/rplp1/eef2b/rpl10a/si:dkey-180p18.9/rps27a/rps29/rpl12/rps8a/rps10/eef1g/rps16/rps23/rpl21/rpl18/orc4/rpl23a/ahcy/hmgb2b/ybx1/eef1a1l1/rps12/rpl27/rpl13/rplp0/rpl23/ddx21/rplp2l/rpl28/rpl39/rps13/atp1a1b/rpl3/rpl19/rpl24/rpl7/rps9/rpl6/ak2/rps14/eef1da/rpl31/rps15/rps26/rps4x/rpl17/mcm7/faua/eef1b2/rps5/rps3a/rps26l/rpl15/rpl8/rpl18a/rpl7a/rps28/rpl10/rps2/rps6/rpl26/si:ch211-212k18.5/rpsa/rps19/adh5/her8a"
"6","lens #1","lens #1",208,-0.489904151522156,-2.56612724176345,1e-10,1.04444444444444e-09,6.66666666666667e-10,3754,"tags=48%, list=24%, signal=37%","zgc:112285/crygm2d6/si:ch211-210c8.7/pcbd1/pus1/crygm2d18/crygm2d7/serpinb1/prox2/crygm2d4/crygm2d5/anxa3b/crygm2d21/si:ch211-214j24.14/lctla/pah/crygm2c/cryba2a/crygm2d12/crygm2d9/lim2.4/rps17/crygm2d1/si:dkey-164f24.2/crygm2d20/zgc:193690/mfsd6b/crygm2d8/vim/crygm2d16/ddx24/fabp11a/crygm2d3/sox1b/rnd2/etf1b/crygm2d13/crygm2d11/crybb1l1/crygm2d14/coq2/bysl/mettl1/zgc:101858/rpl5a/carhsp1/crygn1/mipb/rps20/rplp1/ascc1/eef2b/cryba2b/capn3a/derl3/rps27a/abcf1/tubb6/rps8a/thop1/bccip/crygm2e/eef1a1l1/crybgx/rps12/znhit2/rpl23/rplp2l/pabpc4/rpl3/hrasls/eef1da/lgsn/etv4/crygmx/rps26l/rnf182/grifin/rpl7a/rps28/rps2/rpl26/si:ch211-255g12.6/cryba1b/cryba1a/rpsa/rps19/cryba4/lgals2b/cryba1l1/bfsp2/crygmxl2/crygn2/dhx32a/crybb1/kpnb3/crybb1l2/zgc:153846/crygm1"
"7","cornea","cornea",216,-0.47293145662353,-2.48673549235891,1e-10,1.04444444444444e-09,6.66666666666667e-10,2735,"tags=45%, list=17%, signal=38%","gstz1/rps17/rpl34/rpl5b/si:dkey-164f24.2/rpl22/rps15a/gyg1b/rpl11/zgc:153704/rpl36a/anxa2a/rbp4/rpl9/aldob/rps27.1/rpl13a/naca/rpl14/clcf1/gli2a/uba52/scinla/wnt4a/pdgfrl/aldh9a1a.1/rps25/rpl36/rpl5a/rps7/twist3/si:dkey-16p21.8/rpl29/rpl32/rps21/sgk1/rps20/rplp1/chrna4b/rpl10a/rps27a/dap1b/rps29/tubb6/rpl12/rps8a/rps10/eef1g/rps16/rps23/rpl21/rpl18/rpl23a/ahcy/ybx1/eef1a1l1/rps12/rpl27/rpl13/bhmt/rplp0/rpl23/rplp2l/rpl28/rpl39/rps13/rplp2/rpl3/rpl19/rpl24/rpl7/rps9/rpl6/rps14/eef1da/rpl31/rps15/rps26/rps4x/rpl17/faua/eef1b2/rps5/rps3a/rps26l/rpl15/rpl8/rpl18a/rpl7a/rps28/rpl10/rps2/rps6/rpl26/rpsa/rps19/hpda"
"8","muscle","muscle",208,-0.432332309551574,-2.26456484107714,1e-10,1.04444444444444e-09,6.66666666666667e-10,2191,"tags=37%, list=14%, signal=32%","aldoab/rpl9/rps27.1/rpl13a/pkmb/myl13/rpl14/uba52/ppiaa/rps25/rpl5a/tuba8l3/rps7/rpl32/rps20/nme2b.1/acta1b/desma/tcap/rplp1/actc1b/mybpha/rpl10a/rps27a/rpl12/wif1/rps8a/vwde/rps10/eef1g/rps16/rps23/rpl21/rpl18/osr2/rpl23a/ahcy/eef1a1l1/rps12/rpl27/rpl13/bhmt/rplp0/rpl23/rplp2l/pabpc4/rpl28/rps13/rpl3/rpl19/rpl24/mylz3/rpl7/rps9/rpl6/rps14/eef1da/rps15/rps4x/rpl17/eef1b2/rps5/rps3a/rps26l/rpl15/rpl8/rpl18a/rpl7a/srl/rpl10/rps2/rps6/jam2a/rpl26/rpsa/rps19/aplnrb"
"9","retina (photoreceptor precursor cells)","retina (photoreceptor precursor cells)",215,-0.429239540378578,-2.26007174535132,1e-10,1.04444444444444e-09,6.66666666666667e-10,3120,"tags=40%, list=20%, signal=33%","gngt2a/ppdpfa/rps11/rpl35/ca7/arl3l2/rps17/rpl34/ada/dnajb1b/rps15a/arr3a/rpl11/foxq2/rpl36a/rpl9/rps27.1/mmrn2a/rpl13a/foxg1b/ckmt2a/sept4a/si:dkey-283b15.2/isl2a/syt5b/rpl36/tmem237a/rps7/rpl32/meig1/rps21/zgc:110339/rps20/cerkl/rplp1/rpl10a/rps27a/rps29/rps8a/rps10/eef1g/rps16/rps23/rpl21/rpl18/rpl23a/eef1a1l1/samd7/rps12/rpl27/rpl13/rpl23/rplp2l/sema6d/rpl28/rpl39/rps13/si:ch1073-155h21.2/rpl3/rpl19/rpl24/rpl7/rps9/rpl6/rps14/rpl31/rps15/rps4x/rpl17/faua/rps5/rps3a/rpl15/aanat2/ndrg1b/rpl8/rpl18a/rpl7a/rpl10/rps2/rps6/rpl26/rpsa/rps19/aplnrb/tsga10"
"10","retina (RPE differentiation)","retina (RPE differentiation)",152,0.500689861470886,2.23098375164033,1.75910928070505e-10,1.65356272386275e-09,1.05546556842303e-09,1715,"tags=28%, list=11%, signal=25%","slc5a2/serpinf2b/hspb8/agxtb/anpepb/cdh17/cx32.3/slc2a11l/slc6a19b/g6pca.2/eps8l3a/si:ch211-139a5.9/ezra/pdzk1ip1/col4a5/zgc:175280/uroc1/syngr2a/pdzk1/slc20a1a/cubn/si:dkey-204f11.64/slc31a1/rab38b/fbp1b/slc5a6a/agtrap/gcshb/slc5a12/slc23a1/si:dkey-238d18.4/slc26a1/epdl2/cldn19/tmem98/dhrs11b/sypl2a/oca2/grhprb/rhoub/gstp2/lpl/rgn"
