"LLgeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","LLgeneAbbrev","padjbound","pvaluebound","chrom","txStart","chromosomenumber"
"LL0000001333",470.588413517258,-0.93379531855504,0.140637024254104,-6.63975452771138,3.14205983756583e-11,6.17257655089808e-07,"arid1b",6.17257655089808e-07,1e-10,"chr20",4897995,"20"
"LL0000021435",610.488156077431,-0.928427469456281,0.162089695111674,-5.72786239629009,1.01704007720941e-08,7.38110664428839e-05,"pcmt",7.38110664428839e-05,1.01704007720941e-08,"chr20",1293984,"20"
"LL0000006193",16.0476207696566,4.47495209946864,0.784143654346175,5.70680139368071,1.15118974175696e-08,7.38110664428839e-05,"CR318588.1",7.38110664428839e-05,1.15118974175696e-08,NA,NA,NA
"LL0000013166",90.0146224868816,1.55089483519145,0.27395004141766,5.66123234428346,1.50289776417173e-08,7.38110664428839e-05,"kcnk10a",7.38110664428839e-05,1.50289776417173e-08,"chr20",10166701,"20"
"LL0000023416",549.073575383601,-0.781205307283466,0.14859113691619,-5.25741523684613,1.46094193868029e-07,0.000574004087707488,"rev3l",0.000574004087707488,1.46094193868029e-07,"chr20",3346237,"20"
"LL0000040182",789.436118895553,2.3984849755185,0.488236796964167,4.91254446701306,8.99019851023902e-07,0.00294354082889409,"si:ch73-187m15.4",0.00294354082889409,8.99019851023902e-07,"chr19",47549564,"19"
"LL0000030877",691.277180948554,0.708443455842034,0.15747019399048,4.49890508095051,6.83043441879907e-06,0.0191691263081868,"tpm4a",0.0191691263081868,6.83043441879907e-06,"chr22",15578709,"22"
"LL0000018481",188.663304951473,0.71016898820345,0.160073281113766,4.43652421729723,9.14230540993148e-06,0.0213065914379213,"lyrm2",0.0213065914379213,9.14230540993148e-06,"chr20",1196375,"20"
"LL0000023160",136.883939820742,0.698827346274627,0.158020070030808,4.42239613068381,9.7612279430538e-06,0.0213065914379213,"ralgps2",0.0213065914379213,9.7612279430538e-06,"chr20",15947202,"20"
"LL0000029896",219.079690641451,0.701957928741546,0.167745492016642,4.18466046570065,2.85592648017537e-05,0.0539782939603104,"tab2",0.0539782939603104,2.85592648017537e-05,"chr20",1329507,"20"
"LL0000027730",126.887024238355,1.07486159341983,0.257651343214695,4.17176786275932,3.02245473944217e-05,0.0539782939603104,"si:dkey-51e6.1",0.0539782939603104,3.02245473944217e-05,"chr20",33981954,"20"
"LL0000005929",49.1604004680817,1.18064959292569,0.287921790834386,4.10059130816122,4.12095793958266e-05,0.0674635156025844,"cnr1",0.0674635156025844,4.12095793958266e-05,"chr20",902411,"20"
"LL0000018673",145.736029515335,-0.695674124106709,0.174289744850237,-3.99148053549844,6.56620784988994e-05,0.0935764170637971,"marcksa",0.0935764170637971,6.56620784988994e-05,"chr20",3316154,"20"
"LL0000023028",55.0357129269297,-1.07069285118287,0.268491716800031,-3.98780589562959,6.66871895593362e-05,0.0935764170637971,"rab15",0.0935764170637971,6.66871895593362e-05,"chr20",28782912,"20"
"LL0000038533",211.847300550125,0.677674405025583,0.172037057271272,3.93911879088358,8.1781432998833e-05,0.0980217019095082,"zgc:112001",0.0980217019095082,8.1781432998833e-05,"chr20",88167,"20"
"LL0000009780",739.564077822262,0.51342613689834,0.130563561767361,3.93238457919191,8.41073663493495e-05,0.0980217019095082,"erh",0.0980217019095082,8.41073663493495e-05,"chr20",33493928,"20"
"LL0000009698",12957.7358585446,0.628446253182081,0.159895952846247,3.93034496493094,8.4824073935436e-05,0.0980217019095082,"epd",0.0980217019095082,8.4824073935436e-05,"chr5",37837244,"5"
"LL0000005858",350.339245669223,0.66786820599338,0.17845310793709,3.74254174507749,0.000182168258094001,0.198816412792036,"cmlc1",0.198816412792036,0.000182168258094001,"chr5",64167615,"5"
"LL0000011956",2183.64986988107,0.773568467692016,0.209070920147508,3.70002900042834,0.000215574830656968,0.208028195907514,"hbbe1.1",0.208028195907514,0.000215574830656968,"chr3",55114096,"3"
"LL0000022654",34.2987525178994,1.14710071449916,0.310835882243948,3.69037418144312,0.000223924424065492,0.208028195907514,"prozb",0.208028195907514,0.000223924424065492,"chr1",144290,"1"
"LL0000012949",85.3035203040382,-0.717390326549036,0.194563478583158,-3.68717876434563,0.00022675406827496,0.208028195907514,"itgb8",0.208028195907514,0.00022675406827496,"chr19",2275036,"19"
"LL0000002089",46.8686645968959,-0.986499288247116,0.268049121061385,-3.68029294161051,0.000232966164925696,0.208028195907514,"bub1",0.208028195907514,0.000232966164925696,"chr20",2609972,"20"
"LL0000007133",159.141133320935,0.538981784318511,0.147747578100148,3.64799065574647,0.00026429924819492,0.211303041559631,"CR855337.1",0.211303041559631,0.00026429924819492,NA,NA,NA
"LL0000000329",119.571602323155,-0.661057020699309,0.181808202912003,-3.63601317273493,0.000276890178448704,0.211303041559631,"adgra1a",0.211303041559631,0.000276890178448704,"chr12",29173499,"12"
"LL0000019075",105.13002401775,0.839327059599094,0.231068364483371,3.63237547240915,0.000280824105486968,0.211303041559631,"mir124-6",0.211303041559631,0.000280824105486968,"chr8",23122761,"8"
"LL0000027279",8.73582024094303,-2.16532427573145,0.596677539890656,-3.62896896727211,0.000284555441357006,0.211303041559631,"si:dkey-239i20.2",0.211303041559631,0.000284555441357006,"chr20",15084450,"20"
"LL0000005457",16.9257324779612,-1.38951349999327,0.383451159903243,-3.62370399490742,0.000290413953785189,0.211303041559631,"cep192",0.211303041559631,0.000290413953785189,NA,NA,NA
"LL0000001380",39.9182734848722,-0.996463226901126,0.278022859651943,-3.58410537949506,0.000338235516730138,0.237308454505841,"armc2",0.237308454505841,0.000338235516730138,"chr20",32230288,"20"
"LL0000038267",786.795383499521,-0.734491984295862,0.205899922819428,-3.56722807001732,0.000360777457699953,0.238806259586233,"ypel5",0.238806259586233,0.000360777457699953,"chr20",113946,"20"
"LL0000034598",13.6117985719671,1.67984420790087,0.471283203986188,3.56440499829504,0.000364682503822194,0.238806259586233,"XLOC_018367",0.238806259586233,0.000364682503822194,NA,NA,NA
"LL0000012355",10.2197559787335,-2.22271102943914,0.629185318020461,-3.53268101746592,0.000411368493147127,0.260688195092752,"hsd3b2",0.260688195092752,0.000411368493147127,"chr20",1272525,"20"
"LL0000011952",1528.76669604716,0.726381760482764,0.206349775648246,3.52014805056532,0.00043130597679014,0.264781434813822,"hbae3",0.264781434813822,0.00043130597679014,"chr3",55146595,"3"
"LL0000022854",95.5047879071091,-0.787172762294865,0.225779317469796,-3.48646975779866,0.000489440719216225,0.291362618119388,"ptk2bb",0.291362618119388,0.000489440719216225,"chr20",19827378,"20"
"LL0000011579",9.20003175100185,-2.08205810993123,0.599765738252201,-3.47145223066365,0.000517651422457255,0.291362618119388,"gpr1",0.291362618119388,0.000517651422457255,"chr9",1234067,"9"
"LL0000023332",28.3368206969027,1.16951723831065,0.336968439423847,3.47070259846978,0.000519098581531107,0.291362618119388,"rbsn",0.291362618119388,0.000519098581531107,"chr8",53146817,"8"
"LL0000039220",231.266631805413,-0.827880458751867,0.239770193088166,-3.45280807463605,0.000554783573144579,0.302742313734035,"zgc:73226",0.302742313734035,0.000554783573144579,"chr5",6350311,"5"
"LL0000034460",13.738137565722,1.50507619238473,0.437556368716099,3.43973096952287,0.000582292693990274,0.30697607351871,"XLOC_017424",0.30697607351871,0.000582292693990274,NA,NA,NA
"LL0000031565",36.4670104575384,-0.984037857736407,0.286760461023507,-3.43156742817393,0.000600103926189517,0.30697607351871,"uggt1",0.30697607351871,0.000600103926189517,"chr2",40830809,"2"
