"LLgeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","LLgeneAbbrev","padjbound","pvaluebound","chrom","txStart","chromosomenumber"
"LL0000013458",32639.9692574195,1.73919066144145,0.183352950515574,9.48547954396686,2.41271139971469e-21,4.64181546191109e-17,"krt15",1e-10,1e-10,"chr11",11515777,"11"
"LL0000012457",3660.60053187042,1.36020750286175,0.154954093301104,8.77813211567515,1.66211958983699e-18,1.59887593944369e-14,"icn",1e-10,1e-10,"chr16",23431179,"16"
"LL0000001104",1059.20315474666,1.2101485324012,0.140919863394787,8.58749436203302,8.8886482594585e-18,5.70029012879074e-14,"anxa2a",1e-10,1e-10,"chr25",34013330,"25"
"LL0000022952",1210.12353887712,1.61817840891296,0.196123144253217,8.25082840209671,1.57300282967662e-16,7.56575036003714e-13,"pvalb7",1e-10,1e-10,"chr22",29168693,"22"
"LL0000002103",120.372585292363,1.54327164515998,0.203307591627781,7.59082153698138,3.17883522560817e-14,1.22315221810951e-10,"BX000438.2",1.22315221810951e-10,1e-10,NA,NA,NA
"LL0000001101",1714.97511637238,1.45685768688228,0.195730305036701,7.44318917098251,9.82831870851588e-14,3.03194869311504e-10,"anxa1a",3.03194869311504e-10,1e-10,"chr5",25578180,"5"
"LL0000005533",1923.43996196653,0.988026816630773,0.133015211523239,7.42792350826851,1.10315717302382e-13,3.03194869311504e-10,"cfl1l",3.03194869311504e-10,1e-10,"chr13",33606700,"13"
"LL0000027216",33.4775215017334,3.7786656804992,0.513381974178314,7.36033961174248,1.83442923277756e-13,3.98920756896842e-10,"si:dkey-22i16.7",3.98920756896842e-10,1e-10,"chr1",43945599,"1"
"LL0000023638",1377.65575967243,1.14291732674956,0.155328817216093,7.35805079336658,1.86615042989323e-13,3.98920756896842e-10,"rhbg",3.98920756896842e-10,1e-10,"chr16",29265800,"16"
"LL0000024145",675.670596295962,1.01212793225299,0.13917031442985,7.27258493594308,3.5267269156204e-13,6.78506991296209e-10,"s100a10b",6.78506991296209e-10,1e-10,"chr16",23397784,"16"
"LL0000005786",575.841125208211,1.19037410400619,0.163974280276042,7.25951717551228,3.88474466107601e-13,6.79441841222194e-10,"cldni",6.79441841222194e-10,1e-10,"chr3",30921394,"3"
"LL0000030877",447.783522022893,1.55431636814753,0.216213972256153,7.18878781018878,6.53690710238142e-13,1.0480296311893e-09,"tpm4a",1.0480296311893e-09,1e-10,"chr22",15578709,"22"
"LL0000019830",338.425925212866,1.7589646304618,0.24837556101289,7.08187481605933,1.42217103840694e-12,1.97222191511835e-09,"myh7l",1.97222191511835e-09,1e-10,NA,NA,NA
"LL0000005782",191.443373483582,1.28565386607706,0.182195843922117,7.05643904054495,1.7082352745635e-12,1.97222191511835e-09,"cldne",1.97222191511835e-09,1e-10,"chr15",2638883,"15"
"LL0000030779",429.267113230104,1.15541785615465,0.163744029248293,7.05624419686554,1.71063101809581e-12,1.97222191511835e-09,"tnnt2e",1.97222191511835e-09,1e-10,"chr4",7508301,"4"
"LL0000020251",375.119018482283,0.816235005044246,0.115687662738038,7.05550605592684,1.71973692644882e-12,1.97222191511835e-09,"nfe2l2a",1.97222191511835e-09,1e-10,"chr9",1654265,"9"
"LL0000005264",255.513449511829,1.12562323447092,0.159579986845758,7.05366165720326,1.74269829809304e-12,1.97222191511835e-09,"cd9b",1.97222191511835e-09,1e-10,"chr4",4234993,"4"
"LL0000009098",108.696440919636,1.28147701075948,0.182370397125454,7.02678192819828,2.11351293696462e-12,2.25899307745902e-09,"dnase1l4.1",2.25899307745902e-09,1e-10,"chr22",5667363,"22"
"LL0000019844",1212.62575543444,1.40372850573858,0.200598221548045,6.99771161930454,2.60176913130543e-12,2.6344966482729e-09,"myl13",2.6344966482729e-09,1e-10,"chr2",2470776,"2"
"LL0000019841",1294.16768791463,1.31886083995721,0.189414076661329,6.96284491207761,3.33468868677901e-12,3.20780378224707e-09,"myl10",3.20780378224707e-09,1e-10,"chr10",33171861,"10"
